userID,Duration,Page,Order,Language,TaskPage,Answer
3545,13.900000000000091,1,2,English,3,1
3545,56.0,1,2,English,4,1
3545,25.0,3,3,English,2,1
3545,9.299999999999727,4,4,English,1,1
3545,44.40000000000009,8,3,English,1,1
3545,1.699999999999818,8,3,English,2,1
3545,12.199999999999818,9,4,English,1,1
3545,5.799999999999727,10,1,English,3,1
3545,2.5,11,2,English,3,1
3545,4.699999999999818,14,4,English,3,1
3545,0.8000000000001819,15,1,English,2,1
3545,8.5,15,1,English,4,1
3545,19.299999999999727,19,4,English,1,1
3545,4.599999999999909,21,2,English,5,1
3545,16.9,28,3,English,1,1
3545,20.299999999999997,30,1,English,1,1
5890,3.199999999999932,4,4,English,3,1
5890,7.5,13,3,English,2,1
5890,6.2000000000000455,21,2,English,4,1
5890,8.900000000000091,24,4,English,5,1
5890,8.0,25,1,English,4,1
5890,6.900000000000091,30,1,English,2,1
2128,4.400000000000091,1,3,English,2,1
2128,2.2000000000000455,6,3,English,1,1
2128,2.7000000000000455,7,1,English,2,1
2128,4.800000000000182,12,1,English,3,1
2128,1.599999999999909,12,1,English,5,1
2128,1.5,16,3,English,1,1
2128,8.700000000000045,18,4,English,1,1
2128,7.0,22,1,English,3,1
2128,3.599999999999909,22,1,English,4,1
2128,0.8000000000001819,23,4,English,5,1
2128,1.400000000000091,27,1,English,4,1
2128,2.799999999999727,28,4,English,3,1
2128,2.400000000000091,30,2,English,5,1
2156,5.7000000000000455,3,1,English,2,1
2156,13.799999999999955,3,1,English,5,1
2156,17.299999999999955,4,2,English,3,1
2156,2.7999999999999545,4,2,English,4,1
2156,1.2000000000000455,4,2,English,5,1
2156,9.0,18,1,English,5,1
2156,18.200000000000273,19,2,English,5,1
2156,8.799999999999727,19,2,English,3,1
2156,0.900000000000091,23,1,English,1,1
2156,4.0,28,1,English,1,1
2156,4.900000000000091,28,1,English,4,1
2156,3.0,28,1,English,3,1
2156,3.400000000000091,29,2,English,4,1
5492,22.300000000000182,2,2,English,3,1
5492,36.3,4,1,English,1,1
5492,14.5,4,1,English,2,1
5492,5.099999999999994,4,1,English,5,1
5492,1.1999999999999318,9,1,English,1,1
5492,24.899999999999977,9,1,English,2,1
5492,0.900000000000091,9,1,English,3,1
5492,3.599999999999909,9,1,English,4,1
5492,51.30000000000007,10,3,English,2,1
5492,0.7000000000000455,14,1,English,2,1
5492,5.199999999999932,14,1,English,3,1
5492,3.2000000000000455,14,1,English,4,1
5492,4.0,14,1,English,5,1
5492,1.1999999999999318,15,3,English,2,1
5492,7.699999999999932,17,2,English,3,1
5492,6.100000000000023,17,2,English,5,1
5492,4.5,19,1,English,1,1
5492,4.900000000000091,19,1,English,4,1
5492,2.7999999999999545,20,3,English,1,1
5492,7.7999999999999545,21,4,English,5,1
5492,2.900000000000091,22,2,English,5,1
5492,2.7999999999999545,24,1,English,4,1
