userID,Duration,Page,Order,Language,TaskPage,Answer
5890,5.5,1,2,Spanish,1,0
5890,7.600000000000023,1,2,Spanish,2,0
5890,2.3999999999999773,2,0,Spanish,1,0
5890,2.1000000000000227,2,0,Spanish,2,0
5890,2.1000000000000227,3,3,Spanish,3,0
5890,9.5,3,3,Spanish,4,0
5890,13.599999999999909,3,3,Spanish,5,0
5890,4.600000000000023,4,4,Spanish,4,0
5890,3.7999999999999545,6,2,Spanish,1,0
5890,14.200000000000045,7,0,Spanish,1,0
5890,4.600000000000136,8,3,Spanish,3,0
5890,2.3999999999998636,8,3,Spanish,4,0
5890,16.0,9,4,Spanish,2,0
5890,1.400000000000091,9,4,Spanish,4,0
5890,10.299999999999955,11,2,Spanish,1,0
5890,16.799999999999955,11,2,Spanish,2,0
5890,2.8999999999998636,12,0,Spanish,1,0
5890,6.2000000000000455,12,0,Spanish,2,0
5890,3.599999999999909,12,0,Spanish,3,0
5890,3.5,12,0,Spanish,4,0
5890,7.2000000000000455,12,0,Spanish,5,0
5890,6.2999999999999545,13,3,Spanish,3,0
5890,1.7999999999999545,14,4,Spanish,2,0
5890,5.0,17,0,Spanish,1,0
5890,8.299999999999955,17,0,Spanish,2,0
5890,4.7999999999999545,17,0,Spanish,3,0
5890,7.2999999999999545,17,0,Spanish,4,0
5890,3.5,17,0,Spanish,5,0
5890,12.599999999999909,18,3,Spanish,3,0
5890,6.2999999999999545,18,3,Spanish,4,0
5890,7.5,18,3,Spanish,5,0
5890,7.5,19,4,Spanish,2,0
5890,11.700000000000045,19,4,Spanish,4,0
5890,12.199999999999818,21,2,Spanish,1,0
5890,7.5,22,0,Spanish,1,0
5890,6.900000000000091,22,0,Spanish,2,0
5890,5.7999999999999545,22,0,Spanish,3,0
5890,7.899999999999864,22,0,Spanish,4,0
5890,2.7000000000000455,23,3,Spanish,3,0
5890,2.699999999999818,23,3,Spanish,4,0
5890,1.400000000000091,23,3,Spanish,5,0
5890,5.599999999999909,24,4,Spanish,2,0
5890,3.7000000000000455,24,4,Spanish,4,0
5890,2.099999999999909,26,2,Spanish,1,0
5890,1.2999999999999545,26,2,Spanish,2,0
5890,9.299999999999955,27,0,Spanish,1,0
5890,4.5,27,0,Spanish,2,0
5890,1.5,27,0,Spanish,3,0
5890,6.7000000000000455,27,0,Spanish,4,0
5890,9.799999999999955,28,3,Spanish,3,0
5890,7.400000000000091,28,3,Spanish,4,0
5890,7.5,28,3,Spanish,5,0
5890,7.400000000000091,29,4,Spanish,2,0
5890,7.399999999999636,29,4,Spanish,4,0
2128,9.899999999999864,1,3,Spanish,3,0
2128,7.2000000000000455,1,3,Spanish,5,0
2128,1.400000000000091,1,3,Spanish,4,0
2128,1.900000000000091,3,4,Spanish,4,0
2128,3.0,4,0,Spanish,3,0
2128,1.7000000000000455,4,0,Spanish,5,0
2128,2.5,5,2,Spanish,1,0
2128,7.5,5,2,Spanish,2,0
2128,5.5,6,3,Spanish,3,0
2128,3.7000000000000455,6,3,Spanish,4,0
2128,1.2000000000000455,6,3,Spanish,5,0
2128,1.0,8,4,Spanish,2,0
2128,1.5,8,4,Spanish,4,0
2128,2.6000000000001364,9,0,Spanish,1,0
2128,0.599999999999909,9,0,Spanish,3,0
2128,2.6000000000001364,9,0,Spanish,4,0
2128,0.8999999999998636,9,0,Spanish,5,0
2128,1.0,10,2,Spanish,1,0
2128,0.8999999999998636,10,2,Spanish,2,0
2128,2.2000000000000455,11,3,Spanish,3,0
2128,4.899999999999864,11,3,Spanish,4,0
2128,3.1000000000001364,11,3,Spanish,5,0
2128,0.7999999999999545,13,4,Spanish,2,0
2128,7.400000000000091,13,4,Spanish,4,0
2128,0.6999999999998181,14,0,Spanish,1,0
2128,1.2999999999999545,14,0,Spanish,3,0
2128,2.2999999999999545,14,0,Spanish,4,0
2128,1.2000000000000455,14,0,Spanish,5,0
2128,1.7999999999999545,15,2,Spanish,1,0
2128,6.900000000000091,16,3,Spanish,3,0
2128,0.8999999999998636,16,3,Spanish,4,0
2128,1.2000000000000455,16,3,Spanish,5,0
2128,1.7999999999999545,18,4,Spanish,2,0
2128,2.0,19,0,Spanish,1,0
2128,1.7999999999999545,19,0,Spanish,2,0
2128,2.5,19,0,Spanish,3,0
2128,4.5,19,0,Spanish,4,0
2128,3.5,19,0,Spanish,5,0
2128,0.900000000000091,20,2,Spanish,1,0
2128,0.6999999999998181,20,2,Spanish,2,0
2128,0.5,21,3,Spanish,3,0
2128,0.6000000000001364,21,3,Spanish,4,0
2128,1.199999999999818,21,3,Spanish,5,0
