Query,Description,Title,URL,Snippet,Total Judgement,Relevant,Irrelevant
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Mi ratón es un suplicio: necesito alternativas - vitonica.com,https://www.vitonica.com/lesiones/mi-raton-es-un-suplicio-necesito-alternativas,Si cada vez que te sientas en el ordenador te ... El Síndrome del Túnel Carpiano o RSI ... como síndrome del ratón o mal del oficinista y es debido ...,17,8,9
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Mejores Ratones Ergonómicos para PC en 2019 - Chipvida,https://chipvida.com/raton-ordenador-pc/ergonomicos/,"Protéjase de la \enfermedad del ratón\"" y del codo de tenista (síndrome RSI) ... Los ratones de ordenador tipo joystick con un diseño más radical que requieren de ...""",19,12,7
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Ratones | Amazon.es,https://www.amazon.es/ratones/b?ie=UTF8&node=937890031,"Compras en línea de Ratones - Teclados, ratones y ... Prevención de codo de tenista/enfermedad del ratón (síndrome RSI ... ratón ergonómico para Ordenador, ...",17,2,15
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Cómo evitar el síndrome del túnel carpiano si trabajas con ...,https://www.natursan.net/como-evitar-sindrome-del-tunel-carpiano-si-trabajas-con-el-ordenador/,El síndrome del túnel carpiano es muy común si trabajas habitualmente con el ordenador por una mala colocación de la muñeca y un mal uso del ratón y el teclado.,1,1,0
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Amazon.es: raton vertical,https://www.amazon.es/raton-vertical/s?k=raton+vertical,"Ratones; Teclados, ratones y periféricos ... Prevención de codo de tenista/enfermedad del ratón (síndrome RSI), ... 6 Botones USB del Ordenador ratón con 4 ...",1,0,1
Síndrome RSI y ratones de ordenador,Encontrar documentos que informen sobre RSI ('repetitive strain injuries' o 'enfermedad del periodista') producidas por el uso del ratón del ordenador.,Tenes tendinitis por uso del Mouse? Te doy una ayuda ...,https://www.taringa.net/+info/tenes-tendinitis-por-uso-del-mouse-te-doy-una-ayuda_i2zb0,"Si pasas mucho tiempo en la pc y tenes ... de ordenador padecen dolencias típicas MAS (Mouse Arm Syndrome – Síndrome del Ratón), por ejemplo RSI ...",1,1,0
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,Frutas y verduras contra el cáncer :: Verduras y frutas ...,http://remedios.innatia.com/c-remedios-cancer/a-frutas-y-verduras-contra-el-cancer-6730.html,"Los grandes aliados contra el cáncer son los antioxidantes, estas sustancias se encuentran naturalmente en los alimentos, especialmente en las frutas y verduras. Por ...",23,21,2
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,Los 10 Mejores Alimentos Contra el Cáncer (Alcalinos ...,https://www.lifeder.com/alimentos-contra-el-cancer/,"Por otra parte, hay numerosos estudios que demuestran una asociación positiva entre el consumo de frutas y verduras y menor probabilidad de contraer cáncer.",23,17,6
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,Alimentos que previenen el cáncer - Granada,https://www.muyinteresante.es/salud/fotos/10-alimentos-que-combaten-el-cancer/alimentos-contra-cancer-granada,"Además, los fitoquímicos de este fruto previenen el cáncer ... El ajo es otro de los alimentos que previene y combate el cáncer ... Las verduras de ...",23,19,4
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,La Fruta y el Cáncer - Peras USA,https://perasusa.com/la-fruta-y-el-cancer/,"Cáncer El cáncer es la segunda causa más común de muerte en Estados Unidos, lo que representa aproximadamente 1 de cada 4 muertes de acuerdo a la Asociación ...",9,7,2
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,Nutrición en prevención del cáncer – frutas y verduras,https://www.salud.mapfre.es/nutricion/enfermedades-nutricion/nutricion-prevencion-cancer-frutas-y-verduras/,Existen diversos estudios que muestran que la ingesta elevada de verduras y frutas disminuye el riesgo de padecer cáncer.,9,9,0
"Verduras, frutas y cáncer",Encontrar documentos que relacionen la ingestión de verduras y fruta con el cáncer.,sedmedicinanatural: 6.- VERDURAS Y FRUTAS ANTI CÁNCER ...,https://sedmedicinanatural.blogspot.com/2009/10/alimentos-que-curan-el-cancer-cuarta.html,La siguiente es una lista de verduras y frutas que científicamente han probado tener la mayor acción anti cancerigena. Se recomienda que el paciente se guie lo más ...,9,6,3
Virus informáticos,Encontrar documentos sobre virus informáticos.,"Virus informático - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Virus_inform%C3%A1tico,Virus informáticos y sistemas operativos. Los virus informáticos afectan en mayor o menor medida a casi todos los sistemas más conocidos y usados en la actualidad.,17,15,2
Virus informáticos,Encontrar documentos sobre virus informáticos.,Tipos de virus informáticos,https://www.tiposde.org/informatica/19-tipos-de-virus-informaticos/,Clasificación y Tipos de virus informáticos. Existen distintas clases de virus: 1) Worm o gusano informático: es un malware que reside en la memoria de la PC...,17,16,1
Virus informáticos,Encontrar documentos sobre virus informáticos.,¿Qué son los virus informáticos? - desarrolloweb.com,https://desarrolloweb.com/articulos/2176.php,"¿Qué son los virus informáticos? Un virus informático es un programa que puede infectar a otros programas, modificándolos de tal manera que causen daño en el ...",17,17,0
Virus informáticos,Encontrar documentos sobre virus informáticos.,¿Qué son los virus informáticos? | InfoSpyware,https://www.infospyware.com/articulos/%C2%BFque-son-los-virus-informaticos/,Los Virus Informáticos son sencillamente programas maliciosos que “infectan” a otros archivos del sistema con la intención de modificarlo o dañarlo.,3,3,0
Virus informáticos,Encontrar documentos sobre virus informáticos.,8 tipos de virus informáticos que debes conocer,https://smarterworkspaces.kyocera.es/blog/8-tipos-virus-informaticos-debes-conocer/,"Existen diferentes tipos de virus informáticos que pueden clasificarse según su origen, técnicas, archivos que infectan, dónde se esconden, daños, etc.",3,3,0
Virus informáticos,Encontrar documentos sobre virus informáticos.,15 Tipos de virus informáticos - Como Funciona Que,https://comofuncionaque.com/tipos-de-virus-informaticos/,Contenido1 1. Macro Virus2 2. Virus Residentes en la Memoria3 3. Virus de Sobreescritura4 4. Virus de Acción Directa5 5. Virus de,3,2,1
Las maravillas del Mundo Antiguo,Busque información sobre la existencia y/o el descubrimiento de los restos de las siete maravillas del mundo.,7 Maravillas del Mundo Antiguo - SobreHistoria.com,https://sobrehistoria.com/siete-maravillas-del-mundo-antiguo/,"Os mostramos las Siete Maravillas del Mundo Antiguo: la Gran Pirámide de Guiza o Gizeh en Egipto, los Jardines colgantes de Babilonia, el Templo de",19,16,3
Las maravillas del Mundo Antiguo,Busque información sobre la existencia y/o el descubrimiento de los restos de las siete maravillas del mundo.,Las 7 maravillas del mundo antiguo,http://www.las7maravillasdelmundo.net/7-maravillas-del-mundo-antiguo/,"Las 7 maravillas del mundo antiguo, las siete maravillas del mundo antiguo",19,14,5
Las maravillas del Mundo Antiguo,Busque información sobre la existencia y/o el descubrimiento de los restos de las siete maravillas del mundo.,"Siete maravillas del mundo antiguo - Wikipedia, la ...",https://es.wikipedia.org/wiki/Siete_maravillas_del_Mundo_Antiguo,"Las siete maravillas del Mundo Antiguo fueron un conjunto de obras arquitectónicas y escultóricas que los helenos, especialmente los del período helenístico ...",19,16,3
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,Derrame de petróleo: causas y consecuencias - Mente y ...,https://mentecuerposano.com/derrame-de-petroleo/,Muchos animales jóvenes y aves mueren ... muchas veces lo tragan por accidente y mueren de ... la mayor parte de las corporaciones petroleras no tienen un plan ...,16,12,4
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,4 Causas Communes De Accidentes En Campos Petroliferos,https://www.deanboyd.com/4-causas-communes-de-accidentes-en-campos-petroliferos/,"Cien de las lesiones sufridas en accidentes de campos petrolíferos ... en un accidente importante en el campo petrolero y poner a ... SW 45th Ave en Amarillo, Texas ...",16,4,12
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,Accidente petrolero en Poza Rica. - YouTube,https://www.youtube.com/watch?v=0Z4qm9eyQnE,Arrancon petrolero en Poza Rica en campo Corralillo. ... Accidente petrolero en Poza Rica. ... trabajos y demostracion del rig PTX-5824 - Duration: ...,16,7,9
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,"Derrame de petróleo - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Derrame_de_petr%C3%B3leo,"La mayoría de los desastres petrolíferos pasan en el mar, ... Las aves son de las especies ... la mayoría son accidentes de barcos petroleros y plataformas ...",10,9,1
