userID,Page,AOI_TYPE,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,AOILanguage,PreviousAOILanguage,LanguageSwitch,Self AOI_Language_Prof,Test AOI_Language_Prof,Is_AOI_L1
3545,1,RESULT1,54,11.28491,0.208979815,0.111034295,0.6167,7,0.12962963,4557.666257,-38.04318341,70.30891736,-2054.331904,-38.04318341,101.2767525,5221.891161,96.70168818,59.30336041,20.09803684,0.372185867,0.506094635,20.09803684,0.372185867,0.506094635,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,1,RESULT2,151,32.08839,0.212505894,0.101335177,0.73657,61,0.40397351,14523.91323,-3.536634112,115.864195,-534.0317509,-3.536634112,88.4219473,14147.75978,93.69377335,58.01150242,62.88396895,0.416450125,0.468881868,62.88396895,0.416450125,0.468881868,1,0.1418,0.1418,Chinese,Chinese,No,High,High,Yes
3545,1,RESULT3,57,12.93142,0.226867018,0.113562125,0.52246,14,0.245614035,6896.982919,39.98714402,102.6397973,2279.267209,39.98714402,103.0206886,5133.69402,90.06480737,53.78502974,10.51593895,0.187784624,0.285852717,10.51593895,0.187784624,0.285852717,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,1,RESULT4,17,4.52882,0.266401176,0.110820529,0.58936,0,0,3184.898673,40.48467297,166.2788645,688.2394405,40.48467297,96.040076,1592.69052,93.68767763,63.63835337,-0.025613158,-0.001600822,0.145968094,-0.025613158,-0.001600822,0.145968094,0,0,0,English,Chinese,Yes,Low,Low,No
3545,1,RESULT5,41,12.46072,0.30392,0.151643404,0.93091,7,0.170731707,3811.171477,1.440168181,93.66610676,59.04689541,1.440168181,100.4308,3803.448762,92.76704297,62.30988428,-3.733586842,-0.091063094,0.126376143,-3.733586842,-0.091063094,0.126376143,0,0,0,English,English,No,Low,Low,No
3545,1,RESULT6,54,21.30545,0.39454537,0.262262135,1.48657,14,0.259259259,5447.606511,2.444656441,144.2091983,132.0114478,2.444656441,94.03543882,4849.566773,89.8067921,62.17172888,-11.98357526,-0.23045337,0.107602182,-11.98357526,-0.23045337,0.107602182,0,0,0,English,English,No,Low,Low,No
3545,2,RESULT1,96,22.4307,0.233653125,0.134329871,0.93726,18,0.1875,10418.50957,11.64127825,187.6298023,1117.562712,11.64127825,98.98289103,9092.233157,94.71076205,49.27435342,39.56696105,0.412155844,0.490379077,39.56696105,0.412155844,0.490379077,1,0.09351,0.09351,Chinese,English,Yes,High,High,Yes
3545,2,RESULT2,80,19.71682,0.24646025,0.169829554,1.21484,26,0.325,6262.427866,7.705503537,69.65022779,616.440283,7.705503537,100.7579043,7930.07513,99.12593912,58.32858377,31.75031105,0.412341702,0.476307908,31.75031105,0.412341702,0.476307908,3,0.278,0.092666667,Chinese,Chinese,No,High,High,Yes
3545,2,RESULT3,27,4.75416,0.17608,0.064186473,0.30737,2,0.074074074,2703.098747,23.81784189,95.72406879,643.0817311,23.81784189,92.60058898,2855.798013,105.7702968,50.77975063,9.243038421,0.342334756,0.372292682,9.243038421,0.342334756,0.372292682,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,2,RESULT4,26,5.69383,0.218993462,0.123915949,0.55615,4,0.153846154,2195.550654,-7.993241151,75.45385931,-207.8242699,-7.993241151,99.81136042,2863.976071,110.1529258,56.06467749,10.73686737,0.412956437,0.34523343,10.73686737,0.412956437,0.34523343,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,2,RESULT5,24,8.54884,0.356201667,0.203627364,0.94385,2,0.083333333,2908.457885,48.11295872,137.1035728,1154.711009,48.11295872,92.36099102,1963.454495,81.81060395,65.60746494,3.842375263,0.160098969,0.2027457,3.842375263,0.160098969,0.2027457,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,2,RESULT6,13,4.93922,0.37994,0.219237875,0.83081,1,0.076923077,913.6203864,61.4076495,29.58991023,798.2994435,61.4076495,93.76707026,983.6844578,75.66803521,43.26336871,-0.013486316,-0.001037409,0.121204196,-0.013486316,-0.001037409,0.121204196,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,3,RESULT1,21,5.10476,0.24308381,0.101847416,0.43579,3,0.142857143,2380.745005,-38.74515485,77.9018593,-813.6482518,-38.74515485,80.29420421,2091.589576,99.59950362,60.00614818,9.113352105,0.433969148,0.388416782,9.113352105,0.433969148,0.388416782,0,0,0,English,Chinese,Yes,Low,Low,No
3545,3,RESULT2,27,5.12841,0.189941111,0.099357331,0.48901,5,0.185185185,2779.702931,7.371521877,110.5325207,199.0310907,7.371521877,102.0774128,2335.230031,86.49000113,53.01393713,11.64344842,0.43123883,0.489378778,11.64344842,0.43123883,0.489378778,0,0,0,English,English,No,Low,Low,No
3545,3,RESULT3,23,4.62524,0.201097391,0.106121108,0.50244,3,0.130434783,3049.746548,42.52306608,115.7459056,978.0305197,42.52306608,85.25433229,2515.865713,109.3854658,58.57661764,7.470614211,0.324809314,0.399014565,7.470614211,0.324809314,0.399014565,0,0,0,English,English,No,Low,Low,No
3545,3,RESULT4,72,19.59571,0.272162639,0.138862814,0.75708,18,0.25,6724.107418,15.85046516,87.933762,1141.233491,15.85046516,97.06188262,7166.2747,99.53159306,61.95016543,7.345784737,0.103461757,0.173228772,7.345784737,0.103461757,0.173228772,2,0.25223,0.126115,Chinese,English,Yes,High,High,Yes
3545,3,RESULT5,37,9.13429,0.246872703,0.118007828,0.55591,6,0.162162162,5626.830074,8.472656667,140.112547,313.4882967,8.472656667,114.7432785,4573.400478,123.6054183,53.30585753,-2.709222105,-0.07525617,0.140499827,-2.709222105,-0.07525617,0.140499827,1,0.10794,0.10794,Chinese,Chinese,No,High,High,Yes
3545,3,RESULT6,66,19.13107,0.289864697,0.167964684,1.01831,13,0.196969697,7021.467127,0.773774215,108.3251374,51.06909817,0.773774215,99.29692157,6173.854264,93.54324643,64.23401525,-12.13138158,-0.18663664,0.219698531,-12.13138158,-0.18663664,0.219698531,1,0.00882,0.00882,Chinese,Chinese,No,High,High,Yes
3545,4,RESULT1,17,3.22438,0.189669412,0.084313707,0.375,0,0,2412.389161,-24.14349812,185.7902223,-410.439468,-24.14349812,90.43839662,1511.826433,88.93096667,50.54870498,5.997967895,0.352821641,0.369091405,5.997967895,0.352821641,0.369091405,0,0,0,Chinese,Chinese,No,High,High,Yes
3545,4,RESULT2,73,15.85302,0.217164658,0.107557861,0.74438,17,0.232876712,7820.644129,10.01572631,134.8108142,731.1480208,10.01572631,108.3119426,6908.393781,94.63553124,58.48628038,32.24145579,0.447797997,0.452339398,32.24145579,0.447797997,0.452339398,0,0,0,English,Chinese,Yes,Low,Low,No
3545,4,RESULT3,62,13.11767,0.211575323,0.110823119,0.66357,16,0.258064516,4793.876184,15.15758565,75.73463831,939.7703104,15.15758565,96.48035155,5386.247031,86.87495211,50.82182901,14.22675421,0.233225479,0.330029884,14.22675421,0.233225479,0.330029884,0,0,0,Chinese,English,Yes,High,High,Yes
3545,4,RESULT4,32,8.81374,0.275429375,0.176474271,0.84399,3,0.09375,2993.45767,15.39849375,98.71873004,492.7518001,15.39849375,105.8014307,3289.795164,102.8060989,52.22768576,2.129312632,0.068687504,0.159845624,2.129312632,0.068687504,0.159845624,1,0.14304,0.14304,English,Chinese,Yes,Low,Low,No
