,userID,Page,AOI_TYPE,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,AOILanguage,PreviousAOILanguage,LanguageSwitch,Self AOI_Language_Prof,Test AOI_Language_Prof,Is_AOI_L1
0,2068,1,RESULT1,20,5.22655,0.2613275,0.149970721,0.5898399999999999,4,0.2,2232.2512420000003,15.71625387,88.99313301,314.32507730000003,15.71625387,108.4430186,1271.3378810000002,63.56689405,49.77750892,0.9593536359999999,0.047967682000000005,1.938373305,0.9593536359999999,0.047967682000000005,1.938373305,1,0.14534,0.14534,English,English,No,High,Low,No
1,2068,1,RESULT2,54,10.28319,0.19042944399999998,0.09523172699999999,0.5625,13,0.240740741,5318.227028,-55.92903969,105.7572543,-3020.168143,-55.92903969,95.6035604,5489.576123,101.6588171,52.72004587,9.291992727,0.193583182,1.387709713,9.291992727,0.193583182,1.387709713,1,0.15582000000000001,0.15582000000000001,English,English,No,High,Low,No
2,2068,1,RESULT3,96,18.263720000000003,0.190247083,0.08294444299999999,0.61133,23,0.239583333,7778.541417,3.9452261739999996,92.65639517,378.7417127,3.9452261739999996,96.02514358,9163.694782999999,95.45515399,53.7287052,6.167648182000001,0.069299418,0.23719109,6.167648182000001,0.069299418,0.23719109,1,0.0107,0.0107,English,English,No,High,Low,No
6,2068,2,RESULT1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,English,Chinese,Yes,High,Low,No
7,2068,2,RESULT2,2,0.26758000000000004,0.13379000000000002,0.04004,0.17382999999999998,0,0.0,331.06251810000003,-94.68426297,61.39833565,-189.3685259,-94.68426297,14.064849800000003,305.4396573,152.71982859999997,2.745766573,0.11345818199999999,0.11345818199999999,0.0,0.11345818199999999,0.11345818199999999,0.0,0,0.0,0.0,English,English,No,High,Low,No
8,2068,2,RESULT3,8,0.79493,0.09936625,0.016898961,0.13477,0,0.0,605.4201638999999,-38.75001487,48.67072406,-310.00011889999996,-38.75001487,94.47644246,679.153357,84.89416963,43.89995285,-1.332294545,-0.166536818,0.297042527,-1.332294545,-0.166536818,0.297042527,0,0.0,0.0,English,English,No,High,Low,No
9,2068,2,RESULT4,7,1.13476,0.162108571,0.083152906,0.26366999999999996,2,0.28571428600000004,1395.210214,32.45934739,241.38896430000003,227.2154318,32.45934739,70.34152605,503.0419069,71.86312955,69.62277148,-1.094880909,-0.18248015199999998,0.278431175,-1.094880909,-0.18248015199999998,0.278431175,0,0.0,0.0,English,English,No,High,Low,No
10,2068,2,RESULT5,4,0.64454,0.161135,0.038036587000000004,0.19727,0,0.0,461.44934440000003,62.19623476,65.08683473,248.78493909999997,62.19623476,77.16604323,422.2291296,105.5572824,53.37004641,-1.103127273,-0.275781818,0.129477998,-1.103127273,-0.275781818,0.129477998,0,0.0,0.0,English,English,No,High,Low,No
11,2068,2,RESULT6,3,0.64453,0.214843333,0.087712145,0.32227,0,0.0,165.44328000000002,121.10797099999999,43.75289918,363.3239131,121.10797099999999,27.75908361,406.5012829,135.5004276,20.2118745,-1.497825455,-0.49927515200000006,0.039048013,-1.497825455,-0.49927515200000006,0.039048013,0,0.0,0.0,English,English,No,High,Low,No
13,2068,3,RESULT2,28,5.375,0.191964286,0.07804957,0.47656000000000004,8,0.28571428600000004,2496.766106,-23.00277819,77.77147309,-644.0777893999999,-23.00277819,92.74271513,2782.094749,99.36052675,58.90420698,1.0336890909999998,0.036917467999999995,0.244737848,1.0336890909999998,0.036917467999999995,0.244737848,1,0.17882,0.17882,English,Chinese,Yes,High,Low,No
