@relation all_users_page_at_least_one_english

@attribute userID numeric
@attribute Page numeric
@attribute Total_Fixation_Count numeric
@attribute Total_Fixation_Duration numeric
@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Total_Refixation_Count numeric
@attribute Refixation_Ratio numeric
@attribute Total_Saccade_Length numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Total_Saccade_Absolute_Angle numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Total_Saccade_Relative_Angle numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Total_Left_Eye_Difference numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Total_Right_Eye_Difference numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Total_Blink_Duration numeric
@attribute Average_Blink_Duration numeric
@attribute 'Number of English AOIs' numeric
@attribute L1 {Chinese,English,Both}
@attribute 'Eng Prof (Self)' {High,Low,Medium}
@attribute 'Eng Prof (Test)' {Low,Medium,High}
@attribute 'Chinese/Spanish Prof (Self)' {High,Low,Medium}
@attribute 'Chinese/Spanish Prof (Test)' {High,Low,Medium}

@data
2068,1,208,42.42778,0.20398,0.10209,0.61133,44,0.211538,18572.615898,-11.075622,93.070167,-2303.729423,-11.075622,101.548968,19822.521304,95.300583,53.742643,12.418396,0.065706,0.971508,12.418396,0.065706,0.971508,6,1.42184,0.236973,3,Chinese,High,Low,High,High
2068,2,24,3.48634,0.145264,0.069938,0.32227,2,0.083333,2958.58552,14.164818,149.081059,339.955639,14.164818,96.72666,2316.365334,96.515222,57.199215,-4.91467,-0.223394,0.275983,-4.91467,-0.223394,0.275983,0,0,0,6,Chinese,High,Low,High,High
2068,3,117,21.6836,0.18533,0.081974,0.47656,15,0.128205,17804.728054,-2.48644,288.815605,-290.913501,-2.48644,93.880203,12639.347313,108.02861,58.692482,-0.061065,-0.000571,0.304987,-0.061065,-0.000571,0.304987,1,0.17882,0.17882,3,Chinese,High,Low,High,High
2068,5,41,7.96679,0.194312,0.089674,0.42969,10,0.243902,5105.096161,8.84171,143.493414,362.510121,8.84171,90.806679,3661.379665,89.301943,66.344346,42.274623,1.142557,2.154733,42.274623,1.142557,2.154733,2,0.489,0.2445,3,Chinese,High,Low,High,High
2068,6,72,11.14066,0.154731,0.118342,0.62305,0,0,10469.836344,14.412431,155.418034,1037.695024,14.412431,99.042049,6205.170986,86.18293,55.556785,178.763906,2.628881,3.078835,178.763906,2.628881,3.078835,2,0.37964,0.18982,3,Chinese,High,Low,High,High
2068,7,63,13.31443,0.21134,0.160259,1.21289,8,0.126984,8157.497934,7.686922,163.660932,484.27607,7.686922,94.32256,5233.45381,83.070695,55.974943,33.002805,0.634669,1.691308,33.002805,0.634669,1.691308,1,0.09013,0.09013,6,Chinese,High,Low,High,High
2068,8,32,7.2246,0.225769,0.138329,0.70898,1,0.03125,3885.616868,14.377136,170.884247,460.06836,14.377136,93.420024,3261.723234,101.928851,53.806893,-2.791416,-0.090046,0.275933,-2.791416,-0.090046,0.275933,0,0,0,3,Chinese,High,Low,High,High
2068,10,82,12.61913,0.153892,0.065099,0.3418,7,0.085366,11340.363389,-14.74372,167.054113,-1208.985049,-14.74372,97.699021,8162.257624,99.539727,57.979624,-2.601808,-0.034234,0.489704,-2.601808,-0.034234,0.489704,1,0.05928,0.05928,3,Chinese,High,Low,High,High
2068,11,22,4.48439,0.203836,0.135353,0.63086,2,0.090909,2403.248337,-17.555891,127.641501,-386.2296,-17.555891,95.814623,2528.710236,114.941374,50.81384,-4.591048,-0.218621,0.536698,-4.591048,-0.218621,0.536698,1,0.21253,0.21253,3,Chinese,High,Low,High,High
2068,12,144,24.25396,0.16843,0.106373,0.60352,15,0.104167,14162.885431,6.603267,99.780571,950.870463,6.603267,92.267527,13186.62894,91.573812,55.510503,228.831485,1.93925,3.174473,228.831485,1.93925,3.174473,1,0.17679,0.17679,6,Chinese,High,Low,High,High
