@relation 'aoipage english median paper'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute Average_Fixation_Duration_AOI1 numeric
@attribute Fixation_Duration_SD_AOI1 numeric
@attribute Longest_Fixation_Duration_AOI1 numeric
@attribute Refixation_Ratio_AOI1 numeric
@attribute Average_Saccade_Length_AOI1 numeric
@attribute Saccade_Length_SD_AOI1 numeric
@attribute Average_Saccade_Absolute_Angle_AOI1 numeric
@attribute Saccade_Absolute_Angle_SD_AOI1 numeric
@attribute Average_Saccade_Relative_Angle_AOI1 numeric
@attribute Saccade_Relative_Angle_SD_AOI1 numeric
@attribute Average_Left_Eye_Difference_AOI1 numeric
@attribute Left_Eye_Difference_SD_AOI1 numeric
@attribute Average_Right_Eye_Difference_AOI1 numeric
@attribute Right_Eye_Difference_SD_AOI1 numeric
@attribute Blink_Count_AOI1 numeric
@attribute Average_Blink_Duration_AOI1 numeric
@attribute AOI_Language_AOI1 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI1 {English,Spanish,Chinese}
@attribute Language_Switch_AOI1 {No,Yes}
@attribute Average_Fixation_Duration_AOI2 numeric
@attribute Fixation_Duration_SD_AOI2 numeric
@attribute Longest_Fixation_Duration_AOI2 numeric
@attribute Refixation_Ratio_AOI2 numeric
@attribute Average_Saccade_Length_AOI2 numeric
@attribute Saccade_Length_SD_AOI2 numeric
@attribute Average_Saccade_Absolute_Angle_AOI2 numeric
@attribute Saccade_Absolute_Angle_SD_AOI2 numeric
@attribute Average_Saccade_Relative_Angle_AOI2 numeric
@attribute Saccade_Relative_Angle_SD_AOI2 numeric
@attribute Average_Left_Eye_Difference_AOI2 numeric
@attribute Left_Eye_Difference_SD_AOI2 numeric
@attribute Average_Right_Eye_Difference_AOI2 numeric
@attribute Right_Eye_Difference_SD_AOI2 numeric
@attribute Blink_Count_AOI2 numeric
@attribute Average_Blink_Duration_AOI2 numeric
@attribute AOI_Language_AOI2 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI2 {English,Spanish,Chinese}
@attribute Language_Switch_AOI2 {No,Yes}
@attribute Average_Fixation_Duration_AOI3 numeric
@attribute Fixation_Duration_SD_AOI3 numeric
@attribute Longest_Fixation_Duration_AOI3 numeric
@attribute Refixation_Ratio_AOI3 numeric
@attribute Average_Saccade_Length_AOI3 numeric
@attribute Saccade_Length_SD_AOI3 numeric
@attribute Average_Saccade_Absolute_Angle_AOI3 numeric
@attribute Saccade_Absolute_Angle_SD_AOI3 numeric
@attribute Average_Saccade_Relative_Angle_AOI3 numeric
@attribute Saccade_Relative_Angle_SD_AOI3 numeric
@attribute Average_Left_Eye_Difference_AOI3 numeric
@attribute Left_Eye_Difference_SD_AOI3 numeric
@attribute Average_Right_Eye_Difference_AOI3 numeric
@attribute Right_Eye_Difference_SD_AOI3 numeric
@attribute Blink_Count_AOI3 numeric
@attribute Average_Blink_Duration_AOI3 numeric
@attribute AOI_Language_AOI3 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI3 {English,Spanish,Chinese}
@attribute Language_Switch_AOI3 {No,Yes}
@attribute Average_Fixation_Duration_AOI4 numeric
@attribute Fixation_Duration_SD_AOI4 numeric
@attribute Longest_Fixation_Duration_AOI4 numeric
@attribute Refixation_Ratio_AOI4 numeric
@attribute Average_Saccade_Length_AOI4 numeric
@attribute Saccade_Length_SD_AOI4 numeric
@attribute Average_Saccade_Absolute_Angle_AOI4 numeric
@attribute Saccade_Absolute_Angle_SD_AOI4 numeric
@attribute Average_Saccade_Relative_Angle_AOI4 numeric
@attribute Saccade_Relative_Angle_SD_AOI4 numeric
@attribute Average_Left_Eye_Difference_AOI4 numeric
@attribute Left_Eye_Difference_SD_AOI4 numeric
@attribute Average_Right_Eye_Difference_AOI4 numeric
@attribute Right_Eye_Difference_SD_AOI4 numeric
@attribute Blink_Count_AOI4 numeric
@attribute Average_Blink_Duration_AOI4 numeric
@attribute AOI_Language_AOI4 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI4 {English,Spanish,Chinese}
@attribute Language_Switch_AOI4 {No,Yes}
@attribute Average_Fixation_Duration_AOI5 numeric
@attribute Fixation_Duration_SD_AOI5 numeric
@attribute Longest_Fixation_Duration_AOI5 numeric
@attribute Refixation_Ratio_AOI5 numeric
@attribute Average_Saccade_Length_AOI5 numeric
@attribute Saccade_Length_SD_AOI5 numeric
@attribute Average_Saccade_Absolute_Angle_AOI5 numeric
@attribute Saccade_Absolute_Angle_SD_AOI5 numeric
@attribute Average_Saccade_Relative_Angle_AOI5 numeric
@attribute Saccade_Relative_Angle_SD_AOI5 numeric
@attribute Average_Left_Eye_Difference_AOI5 numeric
@attribute Left_Eye_Difference_SD_AOI5 numeric
@attribute Average_Right_Eye_Difference_AOI5 numeric
@attribute Right_Eye_Difference_SD_AOI5 numeric
@attribute Blink_Count_AOI5 numeric
@attribute Average_Blink_Duration_AOI5 numeric
@attribute AOI_Language_AOI5 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI5 {English,Spanish,Chinese}
@attribute Language_Switch_AOI5 {No,Yes}
@attribute Average_Fixation_Duration_AOI6 numeric
@attribute Fixation_Duration_SD_AOI6 numeric
@attribute Longest_Fixation_Duration_AOI6 numeric
@attribute Refixation_Ratio_AOI6 numeric
@attribute Average_Saccade_Length_AOI6 numeric
@attribute Saccade_Length_SD_AOI6 numeric
@attribute Average_Saccade_Absolute_Angle_AOI6 numeric
@attribute Saccade_Absolute_Angle_SD_AOI6 numeric
@attribute Average_Saccade_Relative_Angle_AOI6 numeric
@attribute Saccade_Relative_Angle_SD_AOI6 numeric
@attribute Average_Left_Eye_Difference_AOI6 numeric
@attribute Left_Eye_Difference_SD_AOI6 numeric
@attribute Average_Right_Eye_Difference_AOI6 numeric
@attribute Right_Eye_Difference_SD_AOI6 numeric
@attribute Blink_Count_AOI6 numeric
@attribute Average_Blink_Duration_AOI6 numeric
@attribute AOI_Language_AOI6 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI6 {English,Spanish,Chinese}
@attribute Language_Switch_AOI6 {No,Yes}
@attribute 'Number of English AOIs' numeric
@attribute 'Paper Median' {High,Low}

@data
0.283019,0.286438,1.875,0.037736,29.935269,396.067809,29.935269,94.993242,88.485295,55.894597,-0.031344,0.558065,-0.031344,0.558065,3,0.13636,0.205882,0.112958,0.5,0.117647,0.363911,398.946831,0.363911,90.147227,95.106467,52.83592,0.033273,0.596361,0.033273,0.596361,0,0,English,English,No,0.196429,0.147254,0.5,0,-12.565473,186.23145,-12.565473,88.572082,83.125649,51.380312,-0.090475,0.654537,-0.090475,0.654537,0,0,English,English,No,0.261364,0.172338,0.75,0,40.499049,668.51082,40.499049,90.850705,90.646398,55.287874,0.143252,0.287294,0.143252,0.287294,0,0,English,English,No,0.5,0.633279,1.875,0,57.277932,51.693117,57.277932,66.467117,80.642896,63.535277,0.013578,0.255132,0.013578,0.255132,1,0.09654,English,English,No,0.234375,0.097578,0.375,0,59.060697,36.423465,59.060697,105.082474,102.595895,51.050199,-0.299098,0.162794,-0.299098,0.162794,1,0.14757,English,English,No,0.59375,0.284701,0.875,0,101.674593,72.064766,101.674593,68.842102,47.324053,52.951268,-0.291775,0.125226,-0.291775,0.125226,1,0.16497,English,English,No,6,High
0.252778,0.182743,1.625,0.133333,19.57178,296.057115,19.57178,95.278725,95.147636,58.679972,0.080263,0.430318,0.080263,0.430318,8,0.093559,0.35,0.2,0.875,0.066667,54.414905,102.3353,54.414905,102.341322,99.691626,57.746894,-0.329487,0.349902,-0.329487,0.349902,1,0.07574,?,Spanish,Yes,0.209302,0.136721,0.5,0.162791,22.595318,239.447473,22.595318,95.430009,93.573757,54.996391,0.027495,0.530679,0.027495,0.530679,1,0.15639,English,Spanish,Yes,0.209302,0.136721,0.5,0.162791,22.595318,239.447473,22.595318,95.430009,93.573757,54.996391,0.027495,0.530679,0.027495,0.530679,1,0.15639,English,English,No,0.280769,0.164128,0.875,0.215385,23.615389,97.264328,23.615389,95.653691,92.171263,59.432952,0.355634,0.376062,0.355634,0.376062,2,0.0826,Spanish,English,Yes,0.275,0.118773,0.625,0.085714,50.010022,119.861041,50.010022,68.423207,109.398829,61.370955,0.145175,0.245087,0.145175,0.245087,0,0,English,Spanish,Yes,0.319444,0.380109,1.625,0,31.155257,144.402159,31.155257,86.076398,88.119681,54.98002,-0.054134,0.243713,-0.054134,0.243713,3,0.088697,Spanish,English,Yes,3,High
0.25,0.19145,1.375,0.135514,14.349006,524.9386,14.349006,88.764268,98.067712,58.396076,0.066984,0.419861,0.066984,0.419861,5,0.154808,0.270161,0.179877,0.75,0.193548,29.910579,1208.700708,29.910579,106.478104,81.264419,52.567355,0.359066,0.354689,0.359066,0.354689,0,0,?,English,Yes,0.380556,0.269974,1.375,0.111111,18.623945,127.747985,18.623945,73.843615,111.754529,69.415682,-0.217039,0.22088,-0.217039,0.22088,1,0.13162,English,?,Yes,0.177632,0.101921,0.375,0.157895,-4.963314,194.870707,-4.963314,96.980671,95.062791,49.216431,0.155543,0.437977,0.155543,0.437977,0,0,Spanish,Spanish,No,0.208333,0.135185,0.5,0.157895,-4.645584,346.0756,-4.645584,86.092725,103.665976,54.430408,0.080878,0.476245,0.080878,0.476245,3,0.188723,Spanish,Spanish,No,0.208333,0.135185,0.5,0.157895,-4.645584,346.0756,-4.645584,86.092725,103.665976,54.430408,0.080878,0.476245,0.080878,0.476245,3,0.188723,Spanish,Spanish,No,0.200521,0.118968,0.5,0.125,39.495289,245.604972,39.495289,80.316996,93.981463,57.373295,0.040131,0.338036,0.040131,0.338036,0,0,English,Spanish,Yes,3,High
0.360491,0.254286,1.625,0.053571,18.909022,437.138662,18.909022,87.661775,99.616468,61.655882,0.044637,0.466718,0.044637,0.466718,7,0.116896,0.590278,0.424521,1.625,0,15.656632,126.045828,15.656632,87.168065,81.895913,61.476413,-0.179068,0.303874,-0.179068,0.303874,2,0.144165,?,English,Yes,0.340278,0.130474,0.5,0.055556,14.079236,114.440651,14.079236,67.550214,105.704781,66.787923,-0.333759,0.165589,-0.333759,0.165589,1,0.09663,English,?,Yes,0.40625,0.22317,1,0.166667,38.116714,221.145208,38.116714,84.582637,105.043913,52.342639,-0.414311,0.271112,-0.414311,0.271112,0,0,English,English,No,0.300781,0.189725,1,0.09375,16.529906,237.271185,16.529906,99.302628,101.441909,58.568162,0.361227,0.538545,0.361227,0.538545,2,0.123035,English,English,No,0.25,0.162611,0.5,0,48.398025,1091.593819,48.398025,90.203225,95.086868,65.31758,0.138462,0.295939,0.138462,0.295939,0,0,English,English,No,0.309211,0.124131,0.625,0,-1.735105,327.798052,-1.735105,76.078302,107.233401,61.209936,0.305284,0.200655,0.305284,0.200655,2,0.09362,English,English,No,3,High
0.230769,0.167729,0.875,0.087912,-4.161113,243.663925,-4.161113,93.381709,89.679538,58.143402,-0.089044,0.513279,-0.089044,0.513279,3,0.135373,0.276786,0.206904,0.875,0.071429,-2.393366,112.038319,-2.393366,106.688748,91.85602,49.781321,0.120941,0.549037,0.120941,0.549037,1,0.12114,English,English,No,0.197368,0.130257,0.5,0.052632,4.305541,367.208238,4.305541,97.059517,69.385702,53.980992,-0.0817,0.410182,-0.0817,0.410182,2,0.14249,?,English,Yes,0.222222,0.164336,0.5,0,43.02279,98.907087,43.02279,76.339491,107.290656,56.854513,-0.394508,0.351603,-0.394508,0.351603,0,0,English,?,Yes,0.269737,0.153164,0.625,0.105263,-4.403571,58.15878,-4.403571,75.936459,115.397421,54.672655,-0.251843,0.060551,-0.251843,0.060551,0,0,Spanish,English,Yes,0.223214,0.171512,0.625,0.142857,15.328828,174.153472,15.328828,93.309555,74.805789,58.112111,-0.322353,0.261848,-0.322353,0.261848,0,0,Spanish,Spanish,No,0.195313,0.165175,0.75,0.125,-59.068769,344.730322,-59.068769,77.574541,84.442339,60.016447,0.22252,0.634541,0.22252,0.634541,0,0,English,Spanish,Yes,6,High
0.266927,0.23567,1.5,0.041667,1.654144,188.484498,1.654144,95.275977,93.551526,60.918378,-0.217647,0.481011,-0.217647,0.481011,3,0.139747,0.136364,0.099066,0.25,0,6.906167,183.461742,6.906167,115.464713,95.562894,56.996671,-0.239917,0.493051,-0.239917,0.493051,1,0.15764,?,Spanish,Yes,0.236111,0.137493,0.5,0,55.911577,154.604126,55.911577,88.665205,112.960191,42.098371,-0.182064,0.457569,-0.182064,0.457569,2,0.1308,English,?,Yes,0.236111,0.137493,0.5,0,55.911577,154.604126,55.911577,88.665205,112.960191,42.098371,-0.182064,0.457569,-0.182064,0.457569,2,0.1308,Spanish,English,Yes,0.214286,0.087482,0.375,0,12.385938,64.152142,12.385938,96.774016,116.464754,36.60471,-0.206438,0.214153,-0.206438,0.214153,0,0,English,Spanish,Yes,0.337963,0.28016,1.5,0.111111,-0.630814,105.129659,-0.630814,91.397082,88.824622,63.31903,-0.269176,0.224433,-0.269176,0.224433,0,0,English,English,No,0.363636,0.281809,1.25,0.045455,-18.234516,265.479642,-18.234516,93.953901,94.950296,68.276216,-0.25318,0.413633,-0.25318,0.413633,0,0,English,English,No,3,High
0.245968,0.284248,2.5,0.075269,10.452554,326.509228,10.452554,92.366036,89.860765,60.788772,-0.17515,0.425761,-0.17515,0.425761,3,0.10599,0.222656,0.13526,0.5,0.125,26.088158,146.255537,26.088158,103.730287,103.650996,63.403822,-0.159723,0.296264,-0.159723,0.296264,1,0.1175,English,Spanish,Yes,0.432292,0.469068,2.5,0.083333,14.027705,464.435455,14.027705,79.90821,90.908163,58.626782,-0.250947,0.213449,-0.250947,0.213449,0,0,English,English,No,0.125,0.072169,0.25,0,15.126706,255.274679,15.126706,88.207898,53.581669,42.527153,-0.48343,0.63341,-0.48343,0.63341,0,0,Spanish,English,Yes,0.214286,0.145072,0.5,0,-23.178099,177.83006,-23.178099,87.672542,61.089037,47.217143,0.078185,0.416944,0.078185,0.416944,0,0,?,Spanish,Yes,0.166667,0.093169,0.375,0.083333,19.772204,184.629026,19.772204,80.916152,103.550244,50.636031,0.087237,0.284218,0.087237,0.284218,0,0,?,?,Yes,0.222656,0.13526,0.5,0.125,26.088158,146.255537,26.088158,103.730287,103.650996,63.403822,-0.159723,0.296264,-0.159723,0.296264,1,0.1175,Spanish,?,Yes,3,High
0.255435,0.178605,0.75,0.057971,15.197591,600.344942,15.197591,91.721528,96.220612,57.124084,-0.3151,0.393604,-0.3151,0.393604,4,0.114505,0.2125,0.1375,0.5,0.1,43.28928,284.427775,43.28928,99.492529,115.954601,43.162128,-0.250278,0.25171,-0.250278,0.25171,2,0.12781,English,English,No,0.2125,0.1375,0.5,0.1,43.28928,284.427775,43.28928,99.492529,115.954601,43.162128,-0.250278,0.25171,-0.250278,0.25171,2,0.12781,Spanish,English,Yes,0.298611,0.172496,0.75,0.055556,29.07409,1036.962545,29.07409,69.561948,97.484317,57.02964,-0.390274,0.209062,-0.390274,0.209062,0,0,?,Spanish,Yes,0.363636,0.252569,0.75,0,49.732912,104.393485,49.732912,98.736537,89.294462,67.204186,-0.528718,0.111803,-0.528718,0.111803,0,0,English,?,Yes,0.208333,0.098601,0.375,0.133333,-29.12013,329.82589,-29.12013,88.747331,109.780558,56.197146,-0.112553,0.379424,-0.112553,0.379424,1,0.09515,Spanish,?,Yes,0.208333,0.098601,0.375,0.133333,-29.12013,329.82589,-29.12013,88.747331,109.780558,56.197146,-0.112553,0.379424,-0.112553,0.379424,1,0.09515,English,Spanish,Yes,3,High
0.246094,0.184836,0.75,0.015625,21.61964,334.329481,21.61964,89.879406,100.197004,58.684054,0.085437,0.487596,0.085437,0.487596,4,0.11589,0.1375,0.117925,0.375,0,14.448632,354.517579,14.448632,60.762584,137.961541,32.969571,0.320521,0.680896,0.320521,0.680896,0,0,English,Spanish,Yes,0.301136,0.194597,0.75,0,7.527175,238.517304,7.527175,90.73046,99.943207,55.817452,0.127163,0.456117,0.127163,0.456117,2,0.1206,?,English,Yes,0.375,0.079057,0.5,0,22.349873,803.991956,22.349873,109.822215,42.045197,28.706513,0.164988,0.07147,0.164988,0.07147,1,0.15294,English,?,Yes,0.215909,0.093707,0.375,0.090909,50.448302,132.266242,50.448302,90.065491,117.618701,58.98756,-0.053129,0.176621,-0.053129,0.176621,0,0,Spanish,English,Yes,0.34375,0.240036,0.75,0,74.003086,141.515682,74.003086,62.51311,77.290633,68.683737,-0.491457,0.096429,-0.491457,0.096429,1,0.06942,Spanish,Spanish,No,0.1375,0.117925,0.375,0,14.448632,354.517579,14.448632,60.762584,137.961541,32.969571,0.320521,0.680896,0.320521,0.680896,0,0,Spanish,English,Yes,6,High
0.301991,0.238523,1.25,0.088496,4.160424,130.87509,4.160424,90.852087,104.385569,59.480122,-0.147896,0.395725,-0.147896,0.395725,10,0.139866,0.211957,0.144814,0.625,0.086957,-19.173002,154.356318,-19.173002,79.738815,115.593202,52.5833,0.122065,0.413076,0.122065,0.413076,1,0.23364,English,Spanish,Yes,0.263514,0.14468,0.625,0.081081,3.525292,95.599514,3.525292,88.266302,107.646314,49.889921,-0.110748,0.274931,-0.110748,0.274931,1,0.15371,English,English,No,0.414474,0.329605,1.125,0.052632,36.795473,112.79605,36.795473,74.525571,105.836769,67.309474,-0.249045,0.227753,-0.249045,0.227753,4,0.106555,English,English,No,0.422619,0.302461,1.25,0.095238,-17.7027,79.49754,-17.7027,106.272079,90.814372,69.264162,-0.431154,0.25154,-0.431154,0.25154,4,0.146272,English,English,No,0.25,0.153093,0.5,0.25,118.530654,180.581553,118.530654,30.424758,39.231904,43.517747,-0.540684,0.170141,-0.540684,0.170141,0,0,English,English,No,0.194444,0.145668,0.375,0.111111,-2.312086,195.383515,-2.312086,79.09161,119.89822,50.938815,-0.090506,0.639448,-0.090506,0.639448,0,0,Spanish,Spanish,No,3,High
