userID,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,LanguageSwitch
4799,17,3.5,0.205882353,0.112958026,0.5,2,0.117647059,3979.548796,0.363910622,398.9468307,6.186480579,0.363910622,90.14722664,1616.809937,95.10646689,52.8359201,0.499092727,0.033272848,0.596361267,0.499092727,0.033272848,0.596361267,0,0,0,No
4799,7,1.375,0.196428571,0.147253772,0.5,0,0,1059.183333,-12.56547321,186.2314495,-87.95831249,-12.56547321,88.57208159,581.8795438,83.12564911,51.38031164,-0.633322727,-0.090474675,0.654537007,-0.633322727,-0.090474675,0.654537007,0,0,0,No
4799,11,2.875,0.261363636,0.172338078,0.75,0,0,3696.619128,40.49904897,668.5108196,445.4895387,40.49904897,90.85070509,997.1103793,90.64639812,55.28787434,1.57577,0.143251818,0.287293874,1.57577,0.143251818,0.287293874,0,0,0,No
4799,6,3,0.5,0.633278506,1.875,0,0,573.8944485,57.27793152,51.6931173,343.6675891,57.27793152,66.46711668,483.8573749,80.64289582,63.5352767,0.054312727,0.013578182,0.255131643,0.054312727,0.013578182,0.255131643,1,0.09654,0.09654,No
4799,8,1.875,0.234375,0.097578094,0.375,0,0,783.074076,59.06069681,36.42346473,472.4855745,59.06069681,105.0824736,820.7671629,102.5958954,51.05019937,-2.093682727,-0.299097532,0.162794226,-2.093682727,-0.299097532,0.162794226,1,0.14757,0.14757,No
4799,4,2.375,0.59375,0.284701049,0.875,0,0,567.0590899,101.6745931,72.06476576,406.6983726,101.6745931,68.84210189,189.2962128,47.3240532,52.95126778,-0.875325455,-0.291775152,0.125225932,-0.875325455,-0.291775152,0.125225932,1,0.16497,0.16497,No
4799,43,9,0.209302326,0.136720651,0.5,7,0.162790698,8409.549148,22.59531778,239.4474729,971.5986644,22.59531778,95.43000909,4023.671557,93.57375713,54.99639134,1.182301818,0.027495391,0.530679305,1.182301818,0.027495391,0.530679305,1,0.15639,0.15639,Yes
4799,35,9.625,0.275,0.118773494,0.625,3,0.085714286,4858.269565,50.01002154,119.8610415,1750.350754,50.01002154,68.42320734,3828.959032,109.3988295,61.37095489,4.935938182,0.145174652,0.245087183,4.935938182,0.145174652,0.245087183,0,0,0,Yes
4799,15,5.25,0.35,0.2,0.875,1,0.066666667,1761.951176,54.41490549,102.3352997,816.2235823,54.41490549,102.3413219,1495.374394,99.69162624,57.74689433,-3.294868182,-0.329486818,0.349901902,-3.294868182,-0.329486818,0.349901902,1,0.07574,0.07574,Yes
4799,48,9.625,0.200520833,0.118967956,0.5,6,0.125,7111.221096,39.49528944,245.6049718,1895.773893,39.49528944,80.31699646,4511.110219,93.98146289,57.37329492,1.805898182,0.040131071,0.33803571,1.805898182,0.040131071,0.33803571,0,0,0,Yes
4799,31,8.375,0.27016129,0.179876678,0.75,6,0.193548387,11895.87849,29.91057884,1208.700708,927.227944,29.91057884,106.4781044,2519.196981,81.26441876,52.5673553,10.77196545,0.359065515,0.354688738,10.77196545,0.359065515,0.354688738,0,0,0,No
4799,45,17.125,0.380555556,0.269973707,1.375,5,0.111111111,6317.945066,18.6239452,127.7479848,838.0775342,18.6239452,73.84361454,5028.953797,111.7545288,69.41568236,-8.247489091,-0.217039187,0.220879952,-8.247489091,-0.217039187,0.220879952,1,0.13162,0.13162,No
4799,32,9.625,0.30078125,0.189724757,1,3,0.09375,5191.48728,16.52990619,237.2711846,528.9569981,16.52990619,99.30262769,3246.141082,101.4419088,58.56816216,10.11434909,0.361226753,0.538545327,10.11434909,0.361226753,0.538545327,2,0.24607,0.123035,No
4799,13,3.25,0.25,0.162610909,0.5,0,0,5764.872082,48.39802466,1091.593819,629.1743205,48.39802466,90.2032251,1236.129286,95.08686818,65.3175804,1.661548182,0.138462348,0.295939244,1.661548182,0.138462348,0.295939244,0,0,0,No
4799,19,5.875,0.309210526,0.124131331,0.625,0,0,3776.105448,-1.735104878,327.7980521,-32.96699269,-1.735104878,76.07830188,2037.434622,107.2334011,61.20993599,5.495107273,0.305283737,0.200655125,5.495107273,0.305283737,0.200655125,2,0.18724,0.09362,No
4799,16,3.125,0.1953125,0.165174801,0.75,2,0.125,3841.074453,-59.06876865,344.7303225,-945.1002985,-59.06876865,77.57454058,1351.077425,84.44233909,60.01644699,2.44772,0.22252,0.634540622,2.44772,0.22252,0.634540622,0,0,0,No
4799,14,3.875,0.276785714,0.206904111,0.875,1,0.071428571,1899.790062,-2.393365857,112.0383185,-33.507122,-2.393365857,106.6887482,1285.984278,91.85601984,49.78132095,1.451288182,0.120940682,0.54903736,1.451288182,0.120940682,0.54903736,1,0.12114,0.12114,No
4799,19,3.75,0.197368421,0.130256512,0.5,1,0.052631579,3795.891418,4.30554052,367.2082383,81.80526989,4.30554052,97.05951674,1318.328335,69.38570185,53.98099227,-1.470602727,-0.081700152,0.410181606,-1.470602727,-0.081700152,0.410181606,2,0.28498,0.14249,No
4799,9,2,0.222222222,0.16433555,0.5,0,0,1382.059695,43.02279047,98.90708657,387.2051143,43.02279047,76.33949132,965.6159041,107.290656,56.85451263,-3.156064545,-0.394508068,0.351603402,-3.156064545,-0.394508068,0.351603402,0,0,0,No
4799,19,5.125,0.269736842,0.153163773,0.625,2,0.105263158,2055.359783,-4.403570958,58.15878044,-83.66784819,-4.403570958,75.93645854,2192.550999,115.397421,54.67265533,-2.014744545,-0.251843068,0.060551484,-2.014744545,-0.251843068,0.060551484,0,0,0,No
4799,14,3.125,0.223214286,0.171512256,0.625,2,0.142857143,2336.704187,15.32882798,174.1534723,214.6035918,15.32882798,93.30955532,1047.281052,74.80578941,58.11211077,-3.223528182,-0.322352818,0.2618475,-3.223528182,-0.322352818,0.2618475,0,0,0,No
4799,11,1.5,0.136363636,0.099065885,0.25,0,0,1944.436706,6.90616678,183.4617424,75.96783458,6.90616678,115.4647131,1051.191832,95.56289384,56.99667099,-2.399168182,-0.239916818,0.493051399,-2.399168182,-0.239916818,0.493051399,1,0.15764,0.15764,Yes
4799,7,1.5,0.214285714,0.087481777,0.375,0,0,846.5449915,12.38593811,64.15214244,86.70156675,12.38593811,96.77401601,815.253275,116.4647536,36.60471036,-1.238630909,-0.206438485,0.214152788,-1.238630909,-0.206438485,0.214152788,0,0,0,Yes
4799,22,8,0.363636364,0.281809017,1.25,1,0.045454545,4120.680086,-18.23451615,265.4796425,-401.1593553,-18.23451615,93.9539007,2088.906508,94.95029583,68.27621555,-4.810414545,-0.253179713,0.413633458,-4.810414545,-0.253179713,0.413633458,0,0,0,Yes
4799,12,2,0.166666667,0.093169499,0.375,1,0.083333333,2052.785477,19.77220351,184.6290262,237.2664421,19.77220351,80.91615195,1242.602927,103.5502439,50.63603097,0.95961,0.087237273,0.284218464,0.95961,0.087237273,0.284218464,0,0,0,Yes
4799,32,7.125,0.22265625,0.135260076,0.5,4,0.125,5110.075479,26.08815751,146.255537,834.8210403,26.08815751,103.7302868,3316.831881,103.6509963,63.40382152,-4.631962727,-0.159722853,0.296263558,-4.631962727,-0.159722853,0.296263558,1,0.1175,0.1175,No
4799,24,10.375,0.432291667,0.469068179,2.5,2,0.083333333,6291.276088,14.02770537,464.435455,336.664929,14.02770537,79.90821,2181.795906,90.90816275,58.62678246,-5.018936364,-0.250946818,0.213448943,-5.018936364,-0.250946818,0.213448943,0,0,0,No
4799,3,0.5,0.166666667,0.155902391,0.375,0,0,1824.195696,-49.19933473,760.5096838,-147.5980042,-49.19933473,69.22856079,285.0771376,95.02571253,40.35861103,-1.120235455,-0.373411818,0.188240758,-1.120235455,-0.373411818,0.188240758,0,0,0,No
4799,12,2.5,0.208333333,0.155902391,0.5,0,0,2661.132949,10.812108,174.8184289,129.745296,10.812108,85.65045252,810.9339084,67.5778257,49.15019195,-4.466451818,-0.372204318,0.358700578,-4.466451818,-0.372204318,0.358700578,1,0.10725,0.10725,No
4799,15,3.125,0.208333333,0.09860133,0.375,2,0.133333333,2512.17786,-29.12013001,329.8258903,-436.8019502,-29.12013001,88.74733056,1646.708363,109.7805575,56.19714596,-1.688297273,-0.112553152,0.379424237,-1.688297273,-0.112553152,0.379424237,1,0.09515,0.09515,No
4799,8,0.75,0.09375,0.103644525,0.25,0,0,1960.95417,-23.14156869,264.1647748,-185.1325495,-23.14156869,90.95342488,711.8855654,88.98569567,51.40971385,0.970015455,0.121251932,0.364945295,0.970015455,0.121251932,0.364945295,0,0,0,No
4799,10,1.375,0.1375,0.117924764,0.375,0,0,2191.179418,14.44863204,354.5175787,144.4863204,14.44863204,60.76258401,1379.615407,137.9615407,32.96957061,3.205211818,0.320521182,0.680896356,3.205211818,0.320521182,0.680896356,0,0,0,No
4799,22,6.625,0.301136364,0.194597089,0.75,0,0,4623.904865,7.527174776,238.5173044,165.5978451,7.527174776,90.73046014,2198.750549,99.94320676,55.81745179,2.670421818,0.127162944,0.456116766,2.670421818,0.127162944,0.456116766,2,0.2412,0.1206,No
4799,5,1.875,0.375,0.079056942,0.5,0,0,2584.309854,22.34987266,803.9919562,111.7493633,22.34987266,109.8222148,210.225987,42.0451974,28.70651303,0.659952727,0.164988182,0.071469822,0.659952727,0.164988182,0.071469822,1,0.15294,0.15294,No
4799,11,2.375,0.215909091,0.093706946,0.375,1,0.090909091,1714.815498,50.44830168,132.2662419,554.9313184,50.44830168,90.06549103,1293.805714,117.6187012,58.98755975,-0.58442,-0.053129091,0.176620581,-0.58442,-0.053129091,0.176620581,0,0,0,No
4799,8,2.75,0.34375,0.240035805,0.75,0,0,1445.749445,74.00308559,141.5156819,592.0246848,74.00308559,62.51311014,618.3250628,77.29063285,68.68373699,-1.965827273,-0.491456818,0.096428957,-1.965827273,-0.491456818,0.096428957,1,0.06942,0.06942,No
4799,23,4.875,0.211956522,0.144814267,0.625,2,0.086956522,3511.196236,-19.17300199,154.356318,-440.9790458,-19.17300199,79.73881472,2658.643655,115.5932024,52.58329987,2.563361818,0.122064848,0.413076329,2.563361818,0.122064848,0.413076329,1,0.23364,0.23364,Yes
4799,19,7.875,0.414473684,0.329604607,1.125,1,0.052631579,2421.477741,36.79547283,112.7960498,699.1139837,36.79547283,74.52557098,2010.898603,105.8367686,67.30947422,-3.735677273,-0.249045152,0.227753288,-3.735677273,-0.249045152,0.227753288,4,0.42622,0.106555,Yes
4799,4,1,0.25,0.153093109,0.5,1,0.25,1163.180645,118.5306544,180.5815528,474.1226175,118.5306544,30.42475818,156.9276172,39.23190429,43.51774733,-2.162737273,-0.540684318,0.170140615,-2.162737273,-0.540684318,0.170140615,0,0,0,Yes
4799,19,4.125,0.217105263,0.120594097,0.5,2,0.105263158,5442.544334,-17.88040342,602.0161079,-339.7276651,-17.88040342,91.16378729,2260.96859,118.9983468,44.39046172,1.344047273,0.074669293,0.417827399,1.344047273,0.074669293,0.417827399,2,0.22963,0.114815,Yes
4799,14,4.75,0.339285714,0.19723859,0.875,2,0.142857143,2087.546621,-11.59315803,131.1607873,-162.3042124,-11.59315803,97.674322,1667.522614,119.1087581,56.6749902,-0.422243636,-0.03248028,0.275957683,-0.422243636,-0.03248028,0.275957683,1,0.15928,0.15928,No
4799,8,2.875,0.359375,0.170448627,0.75,1,0.125,1470.227542,-17.76123702,109.5246494,-142.0898961,-17.76123702,96.13076974,601.0011832,75.1251479,58.40878009,-1.846664545,-0.230833068,0.208884939,-1.846664545,-0.230833068,0.208884939,2,0.27575,0.137875,No
4799,2,0.25,0.125,0,0.125,0,0,1572.594823,-20.12710574,239.0103487,-40.25421147,-20.12710574,98.37246345,171.9989379,85.99946897,40.19095455,-0.712463636,-0.356231818,0.07388,-0.712463636,-0.356231818,0.07388,0,0,0,No
4799,6,1.375,0.229166667,0.112190933,0.375,2,0.333333333,7080.657992,27.19056361,1596.649827,163.1433817,27.19056361,99.96892865,308.9202631,51.48671051,46.23366379,0.831379091,0.138563182,0.318917574,0.831379091,0.138563182,0.318917574,1,0.29796,0.29796,No
4799,26,4.625,0.177884615,0.130518,0.5,2,0.076923077,5724.627913,-5.468635254,277.958536,-142.1845166,-5.468635254,86.78455929,2404.416505,92.4775579,58.02479638,-11.55042545,-0.462017018,0.483853859,-11.55042545,-0.462017018,0.483853859,1,0.11022,0.11022,No
4799,13,1.875,0.144230769,0.107932425,0.375,2,0.153846154,3107.950298,-23.71898593,320.273363,-308.3468171,-23.71898593,105.764229,1025.313257,78.8702505,58.72408652,-0.553603636,-0.042584895,0.415069636,-0.553603636,-0.042584895,0.415069636,1,0.12394,0.12394,No
