@relation 'aoipage spanish median cefr'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute Average_Fixation_Duration_AOI1 numeric
@attribute Fixation_Duration_SD_AOI1 numeric
@attribute Longest_Fixation_Duration_AOI1 numeric
@attribute Refixation_Ratio_AOI1 numeric
@attribute Average_Saccade_Length_AOI1 numeric
@attribute Saccade_Length_SD_AOI1 numeric
@attribute Average_Saccade_Absolute_Angle_AOI1 numeric
@attribute Saccade_Absolute_Angle_SD_AOI1 numeric
@attribute Average_Saccade_Relative_Angle_AOI1 numeric
@attribute Saccade_Relative_Angle_SD_AOI1 numeric
@attribute Average_Left_Eye_Difference_AOI1 numeric
@attribute Left_Eye_Difference_SD_AOI1 numeric
@attribute Average_Right_Eye_Difference_AOI1 numeric
@attribute Right_Eye_Difference_SD_AOI1 numeric
@attribute Blink_Count_AOI1 numeric
@attribute Average_Blink_Duration_AOI1 numeric
@attribute AOI_Language_AOI1 {Spanish,English}
@attribute Previous_AOI_Language_AOI1 {Spanish,English}
@attribute Language_Switch_AOI1 {No,Yes}
@attribute Average_Fixation_Duration_AOI2 numeric
@attribute Fixation_Duration_SD_AOI2 numeric
@attribute Longest_Fixation_Duration_AOI2 numeric
@attribute Refixation_Ratio_AOI2 numeric
@attribute Average_Saccade_Length_AOI2 numeric
@attribute Saccade_Length_SD_AOI2 numeric
@attribute Average_Saccade_Absolute_Angle_AOI2 numeric
@attribute Saccade_Absolute_Angle_SD_AOI2 numeric
@attribute Average_Saccade_Relative_Angle_AOI2 numeric
@attribute Saccade_Relative_Angle_SD_AOI2 numeric
@attribute Average_Left_Eye_Difference_AOI2 numeric
@attribute Left_Eye_Difference_SD_AOI2 numeric
@attribute Average_Right_Eye_Difference_AOI2 numeric
@attribute Right_Eye_Difference_SD_AOI2 numeric
@attribute Blink_Count_AOI2 numeric
@attribute Average_Blink_Duration_AOI2 numeric
@attribute AOI_Language_AOI2 {Spanish,English}
@attribute Previous_AOI_Language_AOI2 {Spanish,English}
@attribute Language_Switch_AOI2 {No,Yes}
@attribute Average_Fixation_Duration_AOI3 numeric
@attribute Fixation_Duration_SD_AOI3 numeric
@attribute Longest_Fixation_Duration_AOI3 numeric
@attribute Refixation_Ratio_AOI3 numeric
@attribute Average_Saccade_Length_AOI3 numeric
@attribute Saccade_Length_SD_AOI3 numeric
@attribute Average_Saccade_Absolute_Angle_AOI3 numeric
@attribute Saccade_Absolute_Angle_SD_AOI3 numeric
@attribute Average_Saccade_Relative_Angle_AOI3 numeric
@attribute Saccade_Relative_Angle_SD_AOI3 numeric
@attribute Average_Left_Eye_Difference_AOI3 numeric
@attribute Left_Eye_Difference_SD_AOI3 numeric
@attribute Average_Right_Eye_Difference_AOI3 numeric
@attribute Right_Eye_Difference_SD_AOI3 numeric
@attribute Blink_Count_AOI3 numeric
@attribute Average_Blink_Duration_AOI3 numeric
@attribute AOI_Language_AOI3 {Spanish,English}
@attribute Previous_AOI_Language_AOI3 {Spanish,English}
@attribute Language_Switch_AOI3 {No,Yes}
@attribute Average_Fixation_Duration_AOI4 numeric
@attribute Fixation_Duration_SD_AOI4 numeric
@attribute Longest_Fixation_Duration_AOI4 numeric
@attribute Refixation_Ratio_AOI4 numeric
@attribute Average_Saccade_Length_AOI4 numeric
@attribute Saccade_Length_SD_AOI4 numeric
@attribute Average_Saccade_Absolute_Angle_AOI4 numeric
@attribute Saccade_Absolute_Angle_SD_AOI4 numeric
@attribute Average_Saccade_Relative_Angle_AOI4 numeric
@attribute Saccade_Relative_Angle_SD_AOI4 numeric
@attribute Average_Left_Eye_Difference_AOI4 numeric
@attribute Left_Eye_Difference_SD_AOI4 numeric
@attribute Average_Right_Eye_Difference_AOI4 numeric
@attribute Right_Eye_Difference_SD_AOI4 numeric
@attribute Blink_Count_AOI4 numeric
@attribute Average_Blink_Duration_AOI4 numeric
@attribute AOI_Language_AOI4 {Spanish,English}
@attribute Previous_AOI_Language_AOI4 {Spanish,English}
@attribute Language_Switch_AOI4 {No,Yes}
@attribute Average_Fixation_Duration_AOI5 numeric
@attribute Fixation_Duration_SD_AOI5 numeric
@attribute Longest_Fixation_Duration_AOI5 numeric
@attribute Refixation_Ratio_AOI5 numeric
@attribute Average_Saccade_Length_AOI5 numeric
@attribute Saccade_Length_SD_AOI5 numeric
@attribute Average_Saccade_Absolute_Angle_AOI5 numeric
@attribute Saccade_Absolute_Angle_SD_AOI5 numeric
@attribute Average_Saccade_Relative_Angle_AOI5 numeric
@attribute Saccade_Relative_Angle_SD_AOI5 numeric
@attribute Average_Left_Eye_Difference_AOI5 numeric
@attribute Left_Eye_Difference_SD_AOI5 numeric
@attribute Average_Right_Eye_Difference_AOI5 numeric
@attribute Right_Eye_Difference_SD_AOI5 numeric
@attribute Blink_Count_AOI5 numeric
@attribute Average_Blink_Duration_AOI5 numeric
@attribute AOI_Language_AOI5 {Spanish,English}
@attribute Previous_AOI_Language_AOI5 {English,Spanish}
@attribute Language_Switch_AOI5 {Yes,No}
@attribute Average_Fixation_Duration_AOI6 numeric
@attribute Fixation_Duration_SD_AOI6 numeric
@attribute Longest_Fixation_Duration_AOI6 numeric
@attribute Refixation_Ratio_AOI6 numeric
@attribute Average_Saccade_Length_AOI6 numeric
@attribute Saccade_Length_SD_AOI6 numeric
@attribute Average_Saccade_Absolute_Angle_AOI6 numeric
@attribute Saccade_Absolute_Angle_SD_AOI6 numeric
@attribute Average_Saccade_Relative_Angle_AOI6 numeric
@attribute Saccade_Relative_Angle_SD_AOI6 numeric
@attribute Average_Left_Eye_Difference_AOI6 numeric
@attribute Left_Eye_Difference_SD_AOI6 numeric
@attribute Average_Right_Eye_Difference_AOI6 numeric
@attribute Right_Eye_Difference_SD_AOI6 numeric
@attribute Blink_Count_AOI6 numeric
@attribute Average_Blink_Duration_AOI6 numeric
@attribute AOI_Language_AOI6 {Spanish,English}
@attribute Previous_AOI_Language_AOI6 {Spanish,English}
@attribute Language_Switch_AOI6 {No,Yes}
@attribute 'Number of English AOIs' numeric
@attribute 'CEFR Median' {High,Low}

@data
0.325342,0.347902,2.75,0.089041,4.191006,234.630651,4.191006,94.119778,85.439691,58.73524,-0.077875,0.434873,-0.077875,0.434873,4,0.108215,0.284722,0.272608,1,0,16.838691,204.258331,16.838691,78.433025,96.582422,64.076919,-0.085631,0.247534,-0.085631,0.247534,0,0,Spanish,Spanish,No,0.284722,0.272608,1,0,16.838691,204.258331,16.838691,78.433025,96.582422,64.076919,-0.085631,0.247534,-0.085631,0.247534,0,0,Spanish,Spanish,No,0.439103,0.452797,2.75,0.128205,2.647864,140.969741,2.647864,93.616127,83.340491,62.724855,-0.238285,0.264758,-0.238285,0.264758,2,0.139465,Spanish,Spanish,No,0.489583,0.457741,1.75,0.166667,34.472867,161.528789,34.472867,95.246625,71.413974,64.982933,-0.425281,0.202823,-0.425281,0.202823,0,0,Spanish,Spanish,No,0.1875,0.088388,0.375,0.0625,17.387121,207.403006,17.387121,81.380923,88.58211,41.537099,-0.052324,0.452117,-0.052324,0.452117,2,0.076965,Spanish,?,Yes,0.236607,0.146915,0.625,0.071429,-21.428646,364.514646,-21.428646,100.191104,91.905924,48.167525,0.109805,0.38915,0.109805,0.38915,0,0,Spanish,Spanish,No,0,High
0.147917,0.086878,0.5,0.033333,19.110666,786.239117,19.110666,101.630719,89.643317,54.159469,0.308575,0.44836,0.308575,0.44836,3,0.13551,0.130952,0.060703,0.25,0,38.064929,744.961448,38.064929,92.557315,97.9244,56.129359,0.15569,0.388275,0.15569,0.388275,0,0,Spanish,English,Yes,0.125,0.06455,0.25,0.066667,-13.957058,979.590251,-13.957058,117.00117,100.455917,47.447387,0.456615,0.450906,0.456615,0.450906,2,0.141445,Spanish,Spanish,No,0.125,0,0.125,0.25,26.993071,736.967016,26.993071,107.686889,58.182347,41.05993,0.741862,0.543815,0.741862,0.543815,0,0,Spanish,Spanish,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,Spanish,No,0.234375,0.097578,0.375,0,25.394523,145.185638,25.394523,74.235744,78.584692,50.41081,0.121437,0.296904,0.121437,0.296904,0,0,Spanish,English,Yes,0.15625,0.115526,0.5,0,20.458654,746.399068,20.458654,99.782584,79.495078,57.463502,0.370374,0.50545,0.370374,0.50545,1,0.12364,English,Spanish,Yes,0,High
0.322704,0.306667,2.625,0.091837,12.33978,284.552942,12.33978,93.705514,85.471925,58.072386,-0.323166,0.386534,-0.323166,0.386534,9,0.12357,0.333333,0.197642,0.75,0.194444,17.179226,109.29203,17.179226,95.886144,83.823616,63.546105,-0.253384,0.228425,-0.253384,0.228425,5,0.129096,Spanish,Spanish,No,0.394737,0.230357,0.75,0.105263,41.569626,379.341089,41.569626,58.393646,97.17548,56.068582,-0.555128,0.283197,-0.555128,0.283197,0,0,Spanish,Spanish,No,0.394737,0.230357,0.75,0.105263,41.569626,379.341089,41.569626,58.393646,97.17548,56.068582,-0.555128,0.283197,-0.555128,0.283197,0,0,Spanish,Spanish,No,0.458333,0.671855,2.625,0,76.959176,180.812992,76.959176,68.574311,77.069235,60.758671,-0.505636,0.287339,-0.505636,0.287339,1,0.15162,Spanish,Spanish,No,0.302083,0.129686,0.5,0,-14.465695,306.125486,-14.465695,92.101562,91.23799,50.111589,-0.479843,0.38785,-0.479843,0.38785,0,0,English,?,Yes,0.333333,0.197642,0.75,0.194444,17.179226,109.29203,17.179226,95.886144,83.823616,63.546105,-0.253384,0.228425,-0.253384,0.228425,5,0.129096,Spanish,English,Yes,0,High
0.416667,0.31041,1.5,0.055556,29.597958,161.345103,29.597958,88.333316,94.509432,62.101661,-0.253169,0.41928,-0.253169,0.41928,2,0.12969,0.416667,0.235702,0.75,0,-4.744291,24.502844,-4.744291,106.46411,87.194288,59.589782,0.330918,0.064033,0.330918,0.064033,0,0,Spanish,English,Yes,0.328125,0.215942,0.75,0.125,23.337487,29.9751,23.337487,81.967895,99.809981,41.105521,-0.019179,0.318758,-0.019179,0.318758,0,0,Spanish,Spanish,No,0.347222,0.218722,0.75,0,28.572555,74.535728,28.572555,70.479994,94.51732,70.875728,-0.191062,0.172899,-0.191062,0.172899,1,0.12775,Spanish,Spanish,No,0.65625,0.445244,1.5,0,68.770867,37.641467,68.770867,91.946342,96.524551,65.077274,-0.637656,0.444542,-0.637656,0.444542,1,0.13163,?,Spanish,Yes,0.375,0.188982,0.75,0.142857,24.866367,256.716253,24.866367,85.0264,87.420085,70.345457,-0.646995,0.194676,-0.646995,0.194676,0,0,?,?,Yes,0.416667,0.235702,0.75,0,-4.744291,24.502844,-4.744291,106.46411,87.194288,59.589782,0.330918,0.064033,0.330918,0.064033,0,0,English,Spanish,Yes,0,High
0.25,0.172516,0.75,0.095238,12.182548,348.995794,12.182548,104.308282,90.967719,58.089145,-0.02949,0.32429,-0.02949,0.32429,1,0.07893,0.15625,0.20492,0.5,0.25,-94.854871,90.101372,-94.854871,66.665113,68.22656,44.646603,-0.231222,0.21581,-0.231222,0.21581,1,0.07893,?,?,Yes,0.263889,0.181089,0.75,0.055556,-9.693078,176.130675,-9.693078,90.50283,102.355976,53.088704,-0.037359,0.319146,-0.037359,0.319146,0,0,Spanish,?,Yes,0.284091,0.160706,0.625,0.090909,49.074668,530.053822,49.074668,99.030103,100.719058,68.958033,-0.069532,0.282081,-0.069532,0.282081,0,0,Spanish,Spanish,No,0.284091,0.160706,0.625,0.090909,49.074668,530.053822,49.074668,99.030103,100.719058,68.958033,-0.069532,0.282081,-0.069532,0.282081,0,0,Spanish,Spanish,No,0.225,0.122474,0.375,0.2,112.122995,87.203492,112.122995,58.526831,42.730016,36.750005,-0.124472,0.244674,-0.124472,0.244674,0,0,Spanish,Spanish,No,0.225,0.122474,0.375,0.2,112.122995,87.203492,112.122995,58.526831,42.730016,36.750005,-0.124472,0.244674,-0.124472,0.244674,0,0,Spanish,Spanish,No,0,High
0.125,0,0.125,0,-7.995614,801.667646,-7.995614,85.589829,87.610682,86.939971,0.127136,0.497468,0.127136,0.497468,0,0,0.125,0,0.125,0,-13.005786,1074.69901,-13.005786,89.123249,88.347519,87.733145,0.366388,0.022315,0.366388,0.022315,0,0,Spanish,Spanish,No,0.125,0,0.125,0,78.61162,0,78.61162,0,0.740654,0,-0.687422,0,-0.687422,0,0,0,Spanish,Spanish,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,Spanish,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,English,Yes,0.125,0,0.125,0,-84.582504,0,-84.582504,0,173.007034,0,0.463188,0,0.463188,0,0,0,Spanish,Spanish,No,0,High
0.18225,0.154578,1,0.132,7.791856,585.24256,7.791856,102.346556,91.685686,56.140677,-0.446785,0.561759,-0.446785,0.561759,7,0.183407,0.139063,0.098313,0.5625,0.15,-3.559447,184.689253,-3.559447,92.380233,94.873973,59.779199,-0.137356,0.305731,-0.137356,0.305731,1,0.09041,Spanish,Spanish,No,0.15625,0.076547,0.3125,0.041667,10.007205,570.181111,10.007205,75.405587,101.889264,48.773872,-0.30466,0.419983,-0.30466,0.419983,1,0.08417,Spanish,Spanish,No,0.1875,0.158818,0.625,0.057143,21.642639,359.826603,21.642639,106.945849,102.669937,54.240998,-0.393427,0.525473,-0.393427,0.525473,0,0,Spanish,Spanish,No,0.221154,0.133408,0.6875,0.179487,-6.721768,638.860841,-6.721768,102.503504,95.154294,52.381872,-0.596098,0.415955,-0.596098,0.415955,4,0.261632,Spanish,Spanish,No,0.195724,0.189773,1,0.184211,20.090295,797.901649,20.090295,107.901539,85.062144,56.756105,-0.630382,0.482408,-0.630382,0.482408,1,0.06274,Spanish,Spanish,No,0.171875,0.163628,0.8125,0.083333,-4.778805,436.729024,-4.778805,106.531278,80.887002,57.246976,-0.530751,0.873244,-0.530751,0.873244,0,0,Spanish,Spanish,No,0,Low
0.125,0.098821,0.5,0.064516,11.379414,547.153872,11.379414,96.899256,79.448582,53.427572,0.000355,0.705233,0.000355,0.705233,1,0.09881,0.116071,0.077837,0.375,0.107143,5.26006,532.432261,5.26006,96.011052,88.14746,49.243465,0.218312,0.526084,0.218312,0.526084,1,0.09881,Spanish,Spanish,No,0.079167,0.035843,0.125,0,0.654659,1082.391266,0.654659,95.809616,47.246052,42.553444,0.360725,1.012644,0.360725,1.012644,0,0,Spanish,Spanish,No,0.1525,0.103199,0.5,0.08,5.462491,132.144765,5.462491,97.960995,90.72492,45.151835,-0.148659,0.634347,-0.148659,0.634347,0,0,Spanish,Spanish,No,0.12,0.093408,0.4375,0.08,20.390781,297.883012,20.390781,85.129142,84.560014,58.581746,-0.17288,0.637861,-0.17288,0.637861,0,0,Spanish,Spanish,No,0.100694,0.091142,0.375,0,13.736547,508.25842,13.736547,102.376396,65.347937,56.720745,-0.208755,0.701741,-0.208755,0.701741,0,0,Spanish,Spanish,No,0.1875,0.14503,0.5,0.076923,27.719698,294.355477,27.719698,107.239483,85.878333,54.493244,0.085418,0.797421,0.085418,0.797421,0,0,Spanish,Spanish,No,0,Low
0.25463,0.180763,0.75,0,18.602173,232.673991,18.602173,85.0674,99.80445,61.395059,-0.308788,0.318371,-0.308788,0.318371,0,0,0.267857,0.155675,0.75,0,1.107482,183.585024,1.107482,75.438297,99.750849,60.517757,-0.19726,0.265588,-0.19726,0.265588,0,0,Spanish,Spanish,No,0.21875,0.112673,0.375,0,-8.322899,256.108468,-8.322899,101.931337,121.073252,59.394718,-0.29299,0.205756,-0.29299,0.205756,0,0,Spanish,Spanish,No,0.375,0.222439,0.6875,0,92.098173,283.699723,92.098173,59.552588,80.026396,46.102317,-0.660616,0.093846,-0.660616,0.093846,0,0,Spanish,Spanish,No,0.40625,0.21875,0.625,0,119.615803,6.766306,119.615803,23.772279,110.541824,68.668862,-0.515352,0.312165,-0.515352,0.312165,0,0,Spanish,Spanish,No,0,0,0,0,-60.278958,149.886509,-60.278958,7.23103,98.414351,66.974502,0,0,0,0,0,0,Spanish,Spanish,No,0.15625,0.03125,0.1875,0,62.53865,64.586172,62.53865,32.973572,77.961854,60.984064,-0.464752,0,-0.464752,0,0,0,Spanish,Spanish,No,0,Low
0.125,0.0625,0.1875,0,-13.61464,80.741334,-13.61464,84.58166,93.427772,82.591092,0.826958,0,0.826958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,Spanish,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,Spanish,No,0.0625,0,0.0625,0,-98.196299,0,-98.196299,0,176.018864,0,0.826958,0,0.826958,0,0,0,Spanish,Spanish,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,Spanish,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,Spanish,No,0.1875,0,0.1875,0,70.96702,0,70.96702,0,10.836681,0,0,0,0,0,0,0,Spanish,Spanish,No,0,Low
