@relation 'aoipage chinese median self'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute Average_Fixation_Duration_AOI1 numeric
@attribute Fixation_Duration_SD_AOI1 numeric
@attribute Longest_Fixation_Duration_AOI1 numeric
@attribute Refixation_Ratio_AOI1 numeric
@attribute Average_Saccade_Length_AOI1 numeric
@attribute Saccade_Length_SD_AOI1 numeric
@attribute Average_Saccade_Absolute_Angle_AOI1 numeric
@attribute Saccade_Absolute_Angle_SD_AOI1 numeric
@attribute Average_Saccade_Relative_Angle_AOI1 numeric
@attribute Saccade_Relative_Angle_SD_AOI1 numeric
@attribute Average_Left_Eye_Difference_AOI1 numeric
@attribute Left_Eye_Difference_SD_AOI1 numeric
@attribute Average_Right_Eye_Difference_AOI1 numeric
@attribute Right_Eye_Difference_SD_AOI1 numeric
@attribute Blink_Count_AOI1 numeric
@attribute Average_Blink_Duration_AOI1 numeric
@attribute AOI_Language_AOI1 {Chinese,English}
@attribute Previous_AOI_Language_AOI1 {English,Chinese}
@attribute Language_Switch_AOI1 {Yes,No}
@attribute Average_Fixation_Duration_AOI2 numeric
@attribute Fixation_Duration_SD_AOI2 numeric
@attribute Longest_Fixation_Duration_AOI2 numeric
@attribute Refixation_Ratio_AOI2 numeric
@attribute Average_Saccade_Length_AOI2 numeric
@attribute Saccade_Length_SD_AOI2 numeric
@attribute Average_Saccade_Absolute_Angle_AOI2 numeric
@attribute Saccade_Absolute_Angle_SD_AOI2 numeric
@attribute Average_Saccade_Relative_Angle_AOI2 numeric
@attribute Saccade_Relative_Angle_SD_AOI2 numeric
@attribute Average_Left_Eye_Difference_AOI2 numeric
@attribute Left_Eye_Difference_SD_AOI2 numeric
@attribute Average_Right_Eye_Difference_AOI2 numeric
@attribute Right_Eye_Difference_SD_AOI2 numeric
@attribute Blink_Count_AOI2 numeric
@attribute Average_Blink_Duration_AOI2 numeric
@attribute AOI_Language_AOI2 {Chinese,English}
@attribute Previous_AOI_Language_AOI2 {Chinese,English}
@attribute Language_Switch_AOI2 {No}
@attribute Average_Fixation_Duration_AOI3 numeric
@attribute Fixation_Duration_SD_AOI3 numeric
@attribute Longest_Fixation_Duration_AOI3 numeric
@attribute Refixation_Ratio_AOI3 numeric
@attribute Average_Saccade_Length_AOI3 numeric
@attribute Saccade_Length_SD_AOI3 numeric
@attribute Average_Saccade_Absolute_Angle_AOI3 numeric
@attribute Saccade_Absolute_Angle_SD_AOI3 numeric
@attribute Average_Saccade_Relative_Angle_AOI3 numeric
@attribute Saccade_Relative_Angle_SD_AOI3 numeric
@attribute Average_Left_Eye_Difference_AOI3 numeric
@attribute Left_Eye_Difference_SD_AOI3 numeric
@attribute Average_Right_Eye_Difference_AOI3 numeric
@attribute Right_Eye_Difference_SD_AOI3 numeric
@attribute Blink_Count_AOI3 numeric
@attribute Average_Blink_Duration_AOI3 numeric
@attribute AOI_Language_AOI3 {Chinese,English}
@attribute Previous_AOI_Language_AOI3 {Chinese,English}
@attribute Language_Switch_AOI3 {No}
@attribute Average_Fixation_Duration_AOI4 numeric
@attribute Fixation_Duration_SD_AOI4 numeric
@attribute Longest_Fixation_Duration_AOI4 numeric
@attribute Refixation_Ratio_AOI4 numeric
@attribute Average_Saccade_Length_AOI4 numeric
@attribute Saccade_Length_SD_AOI4 numeric
@attribute Average_Saccade_Absolute_Angle_AOI4 numeric
@attribute Saccade_Absolute_Angle_SD_AOI4 numeric
@attribute Average_Saccade_Relative_Angle_AOI4 numeric
@attribute Saccade_Relative_Angle_SD_AOI4 numeric
@attribute Average_Left_Eye_Difference_AOI4 numeric
@attribute Left_Eye_Difference_SD_AOI4 numeric
@attribute Average_Right_Eye_Difference_AOI4 numeric
@attribute Right_Eye_Difference_SD_AOI4 numeric
@attribute Blink_Count_AOI4 numeric
@attribute Average_Blink_Duration_AOI4 numeric
@attribute AOI_Language_AOI4 {Chinese}
@attribute Previous_AOI_Language_AOI4 {Chinese,English}
@attribute Language_Switch_AOI4 {No,Yes}
@attribute Average_Fixation_Duration_AOI5 numeric
@attribute Fixation_Duration_SD_AOI5 numeric
@attribute Longest_Fixation_Duration_AOI5 numeric
@attribute Refixation_Ratio_AOI5 numeric
@attribute Average_Saccade_Length_AOI5 numeric
@attribute Saccade_Length_SD_AOI5 numeric
@attribute Average_Saccade_Absolute_Angle_AOI5 numeric
@attribute Saccade_Absolute_Angle_SD_AOI5 numeric
@attribute Average_Saccade_Relative_Angle_AOI5 numeric
@attribute Saccade_Relative_Angle_SD_AOI5 numeric
@attribute Average_Left_Eye_Difference_AOI5 numeric
@attribute Left_Eye_Difference_SD_AOI5 numeric
@attribute Average_Right_Eye_Difference_AOI5 numeric
@attribute Right_Eye_Difference_SD_AOI5 numeric
@attribute Blink_Count_AOI5 numeric
@attribute Average_Blink_Duration_AOI5 numeric
@attribute AOI_Language_AOI5 {Chinese}
@attribute Previous_AOI_Language_AOI5 {Chinese}
@attribute Language_Switch_AOI5 {No}
@attribute Average_Fixation_Duration_AOI6 numeric
@attribute Fixation_Duration_SD_AOI6 numeric
@attribute Longest_Fixation_Duration_AOI6 numeric
@attribute Refixation_Ratio_AOI6 numeric
@attribute Average_Saccade_Length_AOI6 numeric
@attribute Saccade_Length_SD_AOI6 numeric
@attribute Average_Saccade_Absolute_Angle_AOI6 numeric
@attribute Saccade_Absolute_Angle_SD_AOI6 numeric
@attribute Average_Saccade_Relative_Angle_AOI6 numeric
@attribute Saccade_Relative_Angle_SD_AOI6 numeric
@attribute Average_Left_Eye_Difference_AOI6 numeric
@attribute Left_Eye_Difference_SD_AOI6 numeric
@attribute Average_Right_Eye_Difference_AOI6 numeric
@attribute Right_Eye_Difference_SD_AOI6 numeric
@attribute Blink_Count_AOI6 numeric
@attribute Average_Blink_Duration_AOI6 numeric
@attribute AOI_Language_AOI6 {Chinese}
@attribute Previous_AOI_Language_AOI6 {Chinese}
@attribute Language_Switch_AOI6 {No}
@attribute 'Number of English AOIs' numeric
@attribute 'Self Median' {Low,High}

@data
0.490663,0.361955,1.80859,0.073171,43.717361,118.711475,43.717361,86.129848,94.491988,58.005237,0.219867,0.342605,0.219867,0.342605,2,0.14612,0.280716,0.113465,0.53613,0.090909,32.399209,199.545077,32.399209,100.560163,115.188208,58.311765,0.630086,0.320574,0.630086,0.320574,1,0.1058,Chinese,English,Yes,0.852863,0.178911,1.10449,0,11.456691,15.593454,11.456691,74.424285,103.389076,47.695609,0.23035,0.101387,0.23035,0.101387,0,0,Chinese,Chinese,No,0.468848,0.328306,1.29297,0,3.382283,52.02291,3.382283,79.662326,98.412862,57.126352,0.168374,0.188791,0.168374,0.188791,1,0.18644,Chinese,Chinese,No,0.398275,0.163769,0.65625,0,83.172066,55.759435,83.172066,84.300848,124.743103,42.808425,-0.025078,0.163416,-0.025078,0.163416,0,0,Chinese,Chinese,No,0.653862,0.488578,1.80859,0.222222,72.831661,61.777762,72.831661,52.182241,59.209442,42.015226,-0.08813,0.152621,-0.08813,0.152621,0,0,Chinese,Chinese,No,0.75391,0.46582,1.21973,0,106.655121,0.800495,106.655121,0.455468,15.730894,0.408846,0.049751,0.008185,0.049751,0.008185,0,0,Chinese,Chinese,No,0,Low
0.465361,0.581506,3.84277,0.058824,27.917979,115.036124,27.917979,88.470748,85.864335,57.974419,0.529921,0.421058,0.529921,0.421058,0,0,0.226735,0.113766,0.60254,0.058824,25.581847,90.389227,25.581847,95.878347,86.57174,50.777118,0.852672,0.498944,0.852672,0.498944,0,0,Chinese,English,Yes,0.379744,0.173824,0.68262,0.142857,52.733424,55.302293,52.733424,82.181487,77.635511,63.128518,0.722211,0.063151,0.722211,0.063151,0,0,Chinese,Chinese,No,0.497514,0.282612,1.16602,0,10.035782,134.840673,10.035782,74.817963,76.999537,53.930692,0.400135,0.172864,0.400135,0.172864,0,0,Chinese,Chinese,No,0.469105,0.467312,1.72949,0.090909,27.523325,144.909346,27.523325,85.615339,113.527754,60.909829,0.294036,0.281293,0.294036,0.281293,0,0,Chinese,Chinese,No,2.022137,1.309783,3.84277,0,-15.006997,38.530512,-15.006997,74.488681,49.565884,50.051088,-0.157004,0.120975,-0.157004,0.120975,0,0,Chinese,Chinese,No,0.260745,0.027345,0.28809,0,125.83118,111.451997,125.83118,45.574959,59.707523,46.259043,0.037156,0.07606,0.037156,0.07606,0,0,Chinese,Chinese,No,0,Low
0.39999,0.286371,1.47363,0.221053,3.366127,93.302846,3.366127,101.384821,84.232017,60.275424,0.287063,0.3583,0.287063,0.3583,1,0.08996,0.327756,0.208517,1.05176,0.27027,-5.674028,65.683829,-5.674028,104.919971,78.306992,48.909631,0.607817,0.309173,0.607817,0.309173,1,0.08996,Chinese,English,Yes,0.273229,0.169914,0.68359,0.071429,-9.28232,115.594266,-9.28232,95.85281,89.930953,72.030057,0.135968,0.290107,0.135968,0.290107,0,0,Chinese,Chinese,No,0.49698,0.238781,1.01172,0.272727,1.5216,93.282932,1.5216,92.559071,89.084944,60.274293,0.150133,0.167098,0.150133,0.167098,0,0,Chinese,Chinese,No,0.451634,0.36622,1.47363,0.315789,-12.089318,125.501864,-12.089318,106.891086,96.035081,61.111415,0.030954,0.172479,0.030954,0.172479,0,0,Chinese,Chinese,No,0.585205,0.359601,1.37207,0.083333,55.311564,28.355646,55.311564,74.485046,83.910666,70.252272,0.042236,0.121549,0.042236,0.121549,0,0,Chinese,Chinese,No,0.488285,0.160155,0.64844,0,104.44714,5.333915,104.44714,1.387874,17.060352,9.244505,-0.009669,0.092405,-0.009669,0.092405,0,0,Chinese,Chinese,No,0,Low
0.388412,0.299924,1.19141,0.133333,29.632963,151.535237,29.632963,92.941226,95.134314,63.009467,0.553993,0.410342,0.553993,0.410342,0,0,0.229632,0.157887,0.61328,0.357143,14.302385,141.842661,14.302385,97.752504,101.951879,57.991506,0.916222,0.363641,0.916222,0.363641,0,0,Chinese,English,Yes,0.301758,0.148696,0.59961,0,36.989671,47.626707,36.989671,98.465447,93.512312,66.664737,0.915191,0.25662,0.915191,0.25662,0,0,Chinese,Chinese,No,0.384115,0.313079,1.03711,0.166667,17.756302,102.813401,17.756302,65.564137,98.220875,59.6718,0.40791,0.236103,0.40791,0.236103,0,0,Chinese,Chinese,No,0.645927,0.384078,1.19141,0,49.317465,141.897471,49.317465,77.45703,97.734058,64.217672,0.308422,0.253503,0.308422,0.253503,0,0,Chinese,Chinese,No,0.556643,0.306131,1.19141,0,32.901199,213.807364,32.901199,108.774462,92.230179,70.227425,0.05009,0.2134,0.05009,0.2134,0,0,Chinese,Chinese,No,0.285155,0.115235,0.40039,0,61.181468,46.80565,61.181468,52.771624,47.157124,21.080993,-0.056654,0,-0.056654,0,0,0,Chinese,Chinese,No,0,Low
0.455176,0.311663,1.3457,0.1,58.987006,43.224986,58.987006,71.655525,93.425904,68.82398,0.815529,0.432382,0.815529,0.432382,0,0,0.296631,0.172666,0.59766,0.125,66.196213,37.215076,66.196213,68.739544,105.092979,73.22445,0.969883,0.495795,0.969883,0.495795,0,0,Chinese,English,Yes,0.37793,0.123745,0.53711,0.25,-0.406336,38.940304,-0.406336,88.573322,93.206357,81.440155,0.979969,0.103173,0.979969,0.103173,0,0,Chinese,Chinese,No,0.55586,0.295396,0.95117,0,64.271092,28.239957,64.271092,42.782141,68.114162,57.149862,0.849524,0.18958,0.849524,0.18958,0,0,Chinese,Chinese,No,0.79297,0,0.79297,0,111.401764,0,111.401764,0,147.812369,0,0.175826,0,0.175826,0,0,0,Chinese,Chinese,No,1.3457,0,1.3457,0,79.214133,0,79.214133,0,110.882474,0,0.187336,0,0.187336,0,0,0,Chinese,Chinese,No,0.30078,0,0.30078,0,139.824399,0,139.824399,0,55.683168,0,0.020856,0,0.020856,0,0,0,Chinese,Chinese,No,0,Low
0.525051,0.401866,1.48828,0.086957,28.510073,84.190387,28.510073,88.104653,99.160452,54.274945,0.692115,0.357685,0.692115,0.357685,2,0.05882,0.383984,0.225572,0.87695,0.1,-5.964689,93.900888,-5.964689,90.900797,100.6454,66.811637,1.038902,0.36508,1.038902,0.36508,0,0,Chinese,English,Yes,0.559897,0.242596,0.79688,0,104.179936,47.139417,104.179936,50.528927,96.826409,30.57512,0.70556,0.15222,0.70556,0.15222,1,0.04974,Chinese,Chinese,No,0.592123,0.497278,1.48828,0,31.140995,94.910292,31.140995,54.816329,90.973,49.937637,0.560218,0.204281,0.560218,0.204281,0,0,Chinese,Chinese,No,0.708005,0.524415,1.23242,0,93.391102,21.711984,93.391102,57.003457,77.088882,11.095796,0.125156,0.14197,0.125156,0.14197,1,0.0679,Chinese,Chinese,No,0.793945,0.526365,1.32031,0.5,14.605289,61.484999,14.605289,113.597679,141.870704,4.368111,0.074051,0.124935,0.074051,0.124935,0,0,Chinese,Chinese,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese,Chinese,No,0,Low
0.189289,0.098446,0.69727,0.11976,6.013433,119.743584,6.013433,104.650221,88.073191,57.871458,0.025015,0.859982,0.025015,0.859982,4,0.182515,0.178712,0.08976,0.38281,0.178571,8.265861,118.088951,8.265861,111.607752,73.125113,53.470468,-0.007368,0.370976,-0.007368,0.370976,0,0,Chinese,English,Yes,0.171274,0.099909,0.3418,0.076923,-11.950301,55.129406,-11.950301,109.071378,84.450976,64.716294,-0.022956,0.388511,-0.022956,0.388511,0,0,Chinese,Chinese,No,0.129447,0.053926,0.21484,0.055556,-15.850063,133.041231,-15.850063,92.043917,103.639239,59.231533,0.319112,1.396109,0.319112,1.396109,2,0.176985,Chinese,Chinese,No,0.192474,0.087943,0.40234,0.140625,4.857717,111.015473,4.857717,102.305173,92.408826,52.581987,0.181868,1.010025,0.181868,1.010025,0,0,Chinese,Chinese,No,0.211226,0.092663,0.38281,0.111111,19.832441,163.380025,19.832441,116.950814,74.885133,61.805234,-0.207974,0.396432,-0.207974,0.396432,1,0.18283,Chinese,Chinese,No,0.237018,0.145484,0.69727,0.058824,21.593205,83.684496,21.593205,81.005388,103.605138,59.789754,-0.338286,0.411112,-0.338286,0.411112,1,0.19326,Chinese,Chinese,No,0,High
0.222266,0.190029,0.91602,0,21.616106,227.424843,21.616106,86.688379,98.336856,53.852325,0.034913,0.425691,0.034913,0.425691,0,0,0.26465,0.07715,0.3418,0,-14.875823,344.339164,-14.875823,76.550657,166.477298,1.897283,0.274488,0.213375,0.274488,0.213375,0,0,Chinese,English,Yes,0.0957,0,0.0957,0,-75.975345,0,-75.975345,0,37.937071,0,0.066708,0,0.066708,0,0,0,Chinese,Chinese,No,0.140135,0.059422,0.24023,0,30.017937,56.911319,30.017937,86.273231,60.647884,55.210323,0.215995,0.068722,0.215995,0.068722,0,0,Chinese,Chinese,No,0.166667,0.064173,0.28906,0,34.655278,82.303339,34.655278,84.106074,102.645664,29.558854,0.244092,0.328765,0.244092,0.328765,0,0,Chinese,Chinese,No,0.53125,0.38477,0.91602,0,59.207718,17.838538,59.207718,15.976202,146.769781,26.481049,-0.198897,0.38162,-0.198897,0.38162,0,0,Chinese,Chinese,No,0.239454,0.153508,0.47656,0,18.326053,252.470331,18.326053,99.480117,88.768074,55.280712,-0.425499,0.033955,-0.425499,0.033955,0,0,Chinese,Chinese,No,0,High
0.147979,0.078044,0.49609,0.074074,-9.904921,289.510374,-9.904921,93.420656,102.488831,53.414698,1.246017,2.754,1.246017,2.754,1,0.22067,0.127734,0.032802,0.18164,0,-23.349737,560.088672,-23.349737,78.009456,112.144694,49.08329,-0.489288,0.351584,-0.489288,0.351584,0,0,Chinese,English,Yes,0.117465,0.031698,0.17578,0.071429,4.632981,381.272567,4.632981,106.450798,103.618407,55.161804,-0.163962,0.170047,-0.163962,0.170047,0,0,Chinese,Chinese,No,0.111546,0.034347,0.14844,0,10.301192,93.856387,10.301192,99.781664,89.873632,45.858603,-0.130496,0.442068,-0.130496,0.442068,0,0,Chinese,Chinese,No,0.171484,0.059453,0.26172,0,50.240637,280.591025,50.240637,60.692235,100.906888,65.333879,-0.069496,0.230022,-0.069496,0.230022,0,0,Chinese,Chinese,No,0.187604,0.09372,0.49609,0.105263,-23.99757,60.656559,-23.99757,81.566539,99.302273,48.202212,2.686434,3.322304,2.686434,3.322304,0,0,Chinese,Chinese,No,0.151611,0.093845,0.47656,0.125,-21.734293,106.480817,-21.734293,95.596129,105.3896,56.718272,2.375765,2.968829,2.375765,2.968829,1,0.22067,Chinese,Chinese,No,0,High
0.178786,0.106441,0.55664,0.134615,-5.470759,1005.124982,-5.470759,92.942611,102.285377,59.075117,2.189425,3.803859,2.189425,3.803859,0,0,0.135046,0.050936,0.22266,0.142857,-52.624183,2348.233817,-52.624183,61.026153,93.390102,54.682606,-0.061547,0.034654,-0.061547,0.034654,0,0,Chinese,English,Yes,0.11426,0.024879,0.14063,0,23.626463,122.321496,23.626463,70.874962,122.961645,58.679466,1.641413,2.89208,1.641413,2.89208,0,0,Chinese,Chinese,No,0.13965,0.067692,0.20703,0,13.400935,1240.606237,13.400935,111.518805,143.003698,48.560362,-0.495972,0.598201,-0.495972,0.598201,0,0,Chinese,Chinese,No,0.08203,0,0.08203,0,-86.606341,0,-86.606341,0,179.60241,0,6.918728,0,6.918728,0,0,0,Chinese,Chinese,No,0.155761,0.089721,0.31445,0.125,-8.720405,169.911578,-8.720405,72.830045,88.022237,67.341402,6.819138,0.1282,6.819138,0.1282,0,0,Chinese,Chinese,No,0.22228,0.120457,0.55664,0.192308,1.726804,46.557835,1.726804,102.041045,95.059382,53.872,6.524083,0.392005,6.524083,0.392005,0,0,Chinese,Chinese,No,0,High
