@relation 'aoipage english median self'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute Average_Fixation_Duration_AOI1 numeric
@attribute Fixation_Duration_SD_AOI1 numeric
@attribute Longest_Fixation_Duration_AOI1 numeric
@attribute Refixation_Ratio_AOI1 numeric
@attribute Average_Saccade_Length_AOI1 numeric
@attribute Saccade_Length_SD_AOI1 numeric
@attribute Average_Saccade_Absolute_Angle_AOI1 numeric
@attribute Saccade_Absolute_Angle_SD_AOI1 numeric
@attribute Average_Saccade_Relative_Angle_AOI1 numeric
@attribute Saccade_Relative_Angle_SD_AOI1 numeric
@attribute Average_Left_Eye_Difference_AOI1 numeric
@attribute Left_Eye_Difference_SD_AOI1 numeric
@attribute Average_Right_Eye_Difference_AOI1 numeric
@attribute Right_Eye_Difference_SD_AOI1 numeric
@attribute Blink_Count_AOI1 numeric
@attribute Average_Blink_Duration_AOI1 numeric
@attribute AOI_Language_AOI1 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI1 {English,Spanish,Chinese}
@attribute Language_Switch_AOI1 {No,Yes}
@attribute Average_Fixation_Duration_AOI2 numeric
@attribute Fixation_Duration_SD_AOI2 numeric
@attribute Longest_Fixation_Duration_AOI2 numeric
@attribute Refixation_Ratio_AOI2 numeric
@attribute Average_Saccade_Length_AOI2 numeric
@attribute Saccade_Length_SD_AOI2 numeric
@attribute Average_Saccade_Absolute_Angle_AOI2 numeric
@attribute Saccade_Absolute_Angle_SD_AOI2 numeric
@attribute Average_Saccade_Relative_Angle_AOI2 numeric
@attribute Saccade_Relative_Angle_SD_AOI2 numeric
@attribute Average_Left_Eye_Difference_AOI2 numeric
@attribute Left_Eye_Difference_SD_AOI2 numeric
@attribute Average_Right_Eye_Difference_AOI2 numeric
@attribute Right_Eye_Difference_SD_AOI2 numeric
@attribute Blink_Count_AOI2 numeric
@attribute Average_Blink_Duration_AOI2 numeric
@attribute AOI_Language_AOI2 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI2 {English,Spanish,Chinese}
@attribute Language_Switch_AOI2 {No,Yes}
@attribute Average_Fixation_Duration_AOI3 numeric
@attribute Fixation_Duration_SD_AOI3 numeric
@attribute Longest_Fixation_Duration_AOI3 numeric
@attribute Refixation_Ratio_AOI3 numeric
@attribute Average_Saccade_Length_AOI3 numeric
@attribute Saccade_Length_SD_AOI3 numeric
@attribute Average_Saccade_Absolute_Angle_AOI3 numeric
@attribute Saccade_Absolute_Angle_SD_AOI3 numeric
@attribute Average_Saccade_Relative_Angle_AOI3 numeric
@attribute Saccade_Relative_Angle_SD_AOI3 numeric
@attribute Average_Left_Eye_Difference_AOI3 numeric
@attribute Left_Eye_Difference_SD_AOI3 numeric
@attribute Average_Right_Eye_Difference_AOI3 numeric
@attribute Right_Eye_Difference_SD_AOI3 numeric
@attribute Blink_Count_AOI3 numeric
@attribute Average_Blink_Duration_AOI3 numeric
@attribute AOI_Language_AOI3 {English,Spanish,Chinese}
@attribute Previous_AOI_Language_AOI3 {English,Spanish,Chinese}
@attribute Language_Switch_AOI3 {No,Yes}
@attribute Average_Fixation_Duration_AOI4 numeric
@attribute Fixation_Duration_SD_AOI4 numeric
@attribute Longest_Fixation_Duration_AOI4 numeric
@attribute Refixation_Ratio_AOI4 numeric
@attribute Average_Saccade_Length_AOI4 numeric
@attribute Saccade_Length_SD_AOI4 numeric
@attribute Average_Saccade_Absolute_Angle_AOI4 numeric
@attribute Saccade_Absolute_Angle_SD_AOI4 numeric
@attribute Average_Saccade_Relative_Angle_AOI4 numeric
@attribute Saccade_Relative_Angle_SD_AOI4 numeric
@attribute Average_Left_Eye_Difference_AOI4 numeric
@attribute Left_Eye_Difference_SD_AOI4 numeric
@attribute Average_Right_Eye_Difference_AOI4 numeric
@attribute Right_Eye_Difference_SD_AOI4 numeric
@attribute Blink_Count_AOI4 numeric
@attribute Average_Blink_Duration_AOI4 numeric
@attribute AOI_Language_AOI4 {English,Spanish}
@attribute Previous_AOI_Language_AOI4 {English,Spanish,Chinese}
@attribute Language_Switch_AOI4 {No,Yes}
@attribute Average_Fixation_Duration_AOI5 numeric
@attribute Fixation_Duration_SD_AOI5 numeric
@attribute Longest_Fixation_Duration_AOI5 numeric
@attribute Refixation_Ratio_AOI5 numeric
@attribute Average_Saccade_Length_AOI5 numeric
@attribute Saccade_Length_SD_AOI5 numeric
@attribute Average_Saccade_Absolute_Angle_AOI5 numeric
@attribute Saccade_Absolute_Angle_SD_AOI5 numeric
@attribute Average_Saccade_Relative_Angle_AOI5 numeric
@attribute Saccade_Relative_Angle_SD_AOI5 numeric
@attribute Average_Left_Eye_Difference_AOI5 numeric
@attribute Left_Eye_Difference_SD_AOI5 numeric
@attribute Average_Right_Eye_Difference_AOI5 numeric
@attribute Right_Eye_Difference_SD_AOI5 numeric
@attribute Blink_Count_AOI5 numeric
@attribute Average_Blink_Duration_AOI5 numeric
@attribute AOI_Language_AOI5 {English,Spanish}
@attribute Previous_AOI_Language_AOI5 {English,Spanish}
@attribute Language_Switch_AOI5 {No,Yes}
@attribute Average_Fixation_Duration_AOI6 numeric
@attribute Fixation_Duration_SD_AOI6 numeric
@attribute Longest_Fixation_Duration_AOI6 numeric
@attribute Refixation_Ratio_AOI6 numeric
@attribute Average_Saccade_Length_AOI6 numeric
@attribute Saccade_Length_SD_AOI6 numeric
@attribute Average_Saccade_Absolute_Angle_AOI6 numeric
@attribute Saccade_Absolute_Angle_SD_AOI6 numeric
@attribute Average_Saccade_Relative_Angle_AOI6 numeric
@attribute Saccade_Relative_Angle_SD_AOI6 numeric
@attribute Average_Left_Eye_Difference_AOI6 numeric
@attribute Left_Eye_Difference_SD_AOI6 numeric
@attribute Average_Right_Eye_Difference_AOI6 numeric
@attribute Right_Eye_Difference_SD_AOI6 numeric
@attribute Blink_Count_AOI6 numeric
@attribute Average_Blink_Duration_AOI6 numeric
@attribute AOI_Language_AOI6 {English,Spanish}
@attribute Previous_AOI_Language_AOI6 {English,Spanish}
@attribute Language_Switch_AOI6 {No,Yes}
@attribute 'Number of English AOIs' numeric
@attribute 'Self Median' {High,Low}

@data
0.283019,0.286438,1.875,0.037736,29.935269,396.067809,29.935269,94.993242,88.485295,55.894597,-0.031344,0.558065,-0.031344,0.558065,3,0.13636,0.205882,0.112958,0.5,0.117647,0.363911,398.946831,0.363911,90.147227,95.106467,52.83592,0.033273,0.596361,0.033273,0.596361,0,0,English,English,No,0.196429,0.147254,0.5,0,-12.565473,186.231449,-12.565473,88.572082,83.125649,51.380312,-0.090475,0.654537,-0.090475,0.654537,0,0,English,English,No,0.261364,0.172338,0.75,0,40.499049,668.51082,40.499049,90.850705,90.646398,55.287874,0.143252,0.287294,0.143252,0.287294,0,0,English,English,No,0.5,0.633279,1.875,0,57.277932,51.693117,57.277932,66.467117,80.642896,63.535277,0.013578,0.255132,0.013578,0.255132,1,0.09654,English,English,No,0.234375,0.097578,0.375,0,59.060697,36.423465,59.060697,105.082474,102.595895,51.050199,-0.299098,0.162794,-0.299098,0.162794,1,0.14757,English,English,No,0.59375,0.284701,0.875,0,101.674593,72.064766,101.674593,68.842102,47.324053,52.951268,-0.291775,0.125226,-0.291775,0.125226,1,0.16497,English,English,No,6,High
0.230769,0.167729,0.875,0.087912,-4.161113,243.663925,-4.161113,93.381709,89.679538,58.143402,-0.089044,0.513279,-0.089044,0.513279,3,0.135373,0.276786,0.206904,0.875,0.071429,-2.393366,112.038319,-2.393366,106.688748,91.85602,49.781321,0.120941,0.549037,0.120941,0.549037,1,0.12114,English,English,No,0.197368,0.130257,0.5,0.052632,4.305541,367.208238,4.305541,97.059517,69.385702,53.980992,-0.0817,0.410182,-0.0817,0.410182,2,0.14249,?,English,Yes,0.222222,0.164336,0.5,0,43.02279,98.907087,43.02279,76.339491,107.290656,56.854513,-0.394508,0.351603,-0.394508,0.351603,0,0,English,?,Yes,0.269737,0.153164,0.625,0.105263,-4.403571,58.15878,-4.403571,75.936459,115.397421,54.672655,-0.251843,0.060551,-0.251843,0.060551,0,0,Spanish,English,Yes,0.223214,0.171512,0.625,0.142857,15.328828,174.153472,15.328828,93.309555,74.805789,58.112111,-0.322353,0.261848,-0.322353,0.261848,0,0,Spanish,Spanish,No,0.195313,0.165175,0.75,0.125,-59.068769,344.730322,-59.068769,77.574541,84.442339,60.016447,0.22252,0.634541,0.22252,0.634541,0,0,English,Spanish,Yes,6,High
0.246094,0.184836,0.75,0.015625,21.61964,334.329481,21.61964,89.879406,100.197004,58.684054,0.085437,0.487596,0.085437,0.487596,4,0.11589,0.1375,0.117925,0.375,0,14.448632,354.517579,14.448632,60.762584,137.961541,32.969571,0.320521,0.680896,0.320521,0.680896,0,0,English,Spanish,Yes,0.301136,0.194597,0.75,0,7.527175,238.517304,7.527175,90.73046,99.943207,55.817452,0.127163,0.456117,0.127163,0.456117,2,0.1206,?,English,Yes,0.375,0.079057,0.5,0,22.349873,803.991956,22.349873,109.822215,42.045197,28.706513,0.164988,0.07147,0.164988,0.07147,1,0.15294,English,?,Yes,0.215909,0.093707,0.375,0.090909,50.448302,132.266242,50.448302,90.065491,117.618701,58.98756,-0.053129,0.176621,-0.053129,0.176621,0,0,Spanish,English,Yes,0.34375,0.240036,0.75,0,74.003086,141.515682,74.003086,62.51311,77.290633,68.683737,-0.491457,0.096429,-0.491457,0.096429,1,0.06942,Spanish,Spanish,No,0.1375,0.117925,0.375,0,14.448632,354.517579,14.448632,60.762584,137.961541,32.969571,0.320521,0.680896,0.320521,0.680896,0,0,Spanish,English,Yes,6,High
0.256076,0.187112,1.125,0.104167,19.359679,149.889044,19.359679,89.656869,101.764308,61.73251,-0.441529,0.369667,-0.441529,0.369667,5,0.127576,0.109375,0.097578,0.25,0,26.001732,61.806774,26.001732,101.473034,64.612267,24.452514,-0.244941,0.299593,-0.244941,0.299593,0,0,Spanish,English,Yes,0.109375,0.097578,0.25,0,26.001732,61.806774,26.001732,101.473034,64.612267,24.452514,-0.244941,0.299593,-0.244941,0.299593,0,0,English,Spanish,Yes,0.254808,0.160681,0.75,0.076923,16.147539,85.064001,16.147539,84.067355,114.35985,51.188734,-0.376008,0.268703,-0.376008,0.268703,1,0.07055,Spanish,English,Yes,0.198864,0.110905,0.5,0.045455,31.299211,93.514844,31.299211,71.541296,116.808407,53.130622,-0.462068,0.173775,-0.462068,0.173775,0,0,English,Spanish,Yes,0.27193,0.183058,1.125,0.157895,17.17842,128.783777,17.17842,89.713352,109.237341,64.416374,-0.556777,0.196378,-0.556777,0.196378,2,0.1443,?,English,Yes,0.423611,0.23986,1.125,0.055556,44.474344,143.65705,44.474344,86.637617,74.565527,70.295625,-0.600377,0.211683,-0.600377,0.211683,1,0.15479,?,?,Yes,6,High
0.266089,0.177356,0.875,0.059406,12.152987,782.090395,12.152987,87.486841,103.800555,59.040162,0.044592,0.424536,0.044592,0.424536,6,0.135183,0.375,0.102062,0.5,0,64.619013,472.205495,64.619013,47.828588,77.338339,57.648547,-0.262378,0.147062,-0.262378,0.147062,0,0,English,Spanish,Yes,0.255435,0.166804,0.875,0.043478,13.863584,1451.215651,13.863584,64.653272,104.619044,61.422248,0.110108,0.518724,0.110108,0.518724,0,0,English,?,Yes,0.369565,0.206808,0.875,0.043478,16.677415,106.59901,16.677415,88.549872,109.3957,70.67546,-0.280188,0.190353,-0.280188,0.190353,2,0.161635,Spanish,English,Yes,0.3,0.061237,0.375,0,86.82218,92.361754,86.82218,76.100488,75.546882,63.471949,-0.593125,0.37946,-0.593125,0.37946,0,0,Spanish,Spanish,No,0.3,0.061237,0.375,0,86.82218,92.361754,86.82218,76.100488,75.546882,63.471949,-0.593125,0.37946,-0.593125,0.37946,0,0,English,Spanish,Yes,0.375,0.102062,0.5,0,64.619013,472.205495,64.619013,47.828588,77.338339,57.648547,-0.262378,0.147062,-0.262378,0.147062,0,0,Spanish,English,Yes,6,High
0.25,0.149404,0.5,0,-14.560673,1450.978183,-14.560673,101.35543,128.037145,57.05341,-0.045646,0.347848,-0.045646,0.347848,2,0.10865,0.291667,0.155902,0.5,0,-28.070182,66.529262,-28.070182,45.178718,170.044238,9.333659,-0.031275,0.391825,-0.031275,0.391825,2,0.10865,?,English,Yes,0.25,0,0.25,0,144.737554,0,144.737554,0,113.510161,0,-0.142092,0,-0.142092,0,0,0,?,?,Yes,0.25,0,0.25,0,-83.839218,0,-83.839218,0,175.93029,0,0.203998,0,0.203998,0,0,0,English,Spanish,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spanish,English,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,English,Spanish,Yes,0.1875,0.1875,0.375,0,-39.306251,2096.285371,-39.306251,130.075868,48.343424,31.808311,-0.143802,0.424695,-0.143802,0.424695,0,0,English,English,No,6,High
0.114097,0.070998,0.5,0.140187,3.643142,676.078617,3.643142,101.892735,91.777986,55.273793,0.011556,0.782562,0.011556,0.782562,9,0.11235,0.117378,0.069289,0.375,0.073171,24.03744,249.130431,24.03744,105.862595,90.553736,59.301966,-0.028335,0.428562,-0.028335,0.428562,1,0.03708,English,English,No,0.130682,0.086169,0.5,0.068182,9.694201,262.690021,9.694201,83.454016,96.181564,55.524896,-0.12286,0.354981,-0.12286,0.354981,4,0.092783,English,English,No,0.114087,0.051683,0.25,0.190476,14.757232,723.552374,14.757232,102.668986,88.887546,54.617808,-0.18344,0.518578,-0.18344,0.518578,1,0.14296,English,English,No,0.10026,0.059484,0.25,0.208333,-30.791686,1308.574805,-30.791686,105.493086,79.011392,51.407693,0.17028,1.021798,0.17028,1.021798,1,0.13218,English,English,No,0.108209,0.066198,0.3125,0.149254,-2.935299,476.913362,-2.935299,102.461016,94.025316,54.457402,0.156875,0.964949,0.156875,0.964949,1,0.11566,English,English,No,0.117457,0.086911,0.375,0.12069,8.660848,342.628548,8.660848,99.773391,100.411776,54.688587,0.061081,0.829364,0.061081,0.829364,1,0.21214,English,English,No,6,High
0.109776,0.076341,0.375,0.012821,-0.004529,28047.0783,-0.004529,95.673623,91.825337,53.564192,-0.53829,0.701202,-0.53829,0.701202,2,0.03902,0.164773,0.076652,0.25,0,-36.282448,853.679533,-36.282448,75.952184,83.44921,64.507315,-0.237563,0.520473,-0.237563,0.520473,0,0,English,Spanish,Yes,0.138889,0.039284,0.1875,0,-13.751005,614.039352,-13.751005,96.940471,96.511266,55.351137,0.072357,0.463732,0.072357,0.463732,0,0,English,English,No,0.132813,0.07287,0.375,0.0625,-24.771389,56303.09995,-24.771389,79.504257,109.34835,52.115186,-0.357069,0.446805,-0.357069,0.446805,0,0,English,English,No,0.081731,0.066617,0.1875,0,16.367586,1411.962643,16.367586,104.160953,91.32584,52.665803,-0.795138,0.637072,-0.795138,0.637072,1,0.05858,English,English,No,0.071429,0.066216,0.1875,0,21.420183,23894.954,21.420183,97.812958,75.902879,46.520137,-0.885304,0.780264,-0.885304,0.780264,0,0,English,English,No,0.0875,0.075,0.3125,0,27.079585,1062.898099,27.079585,97.607232,91.758917,45.60573,-0.855849,1.074915,-0.855849,1.074915,1,0.01946,English,English,No,6,High
0.115741,0.089533,0.375,0.018519,17.719539,364.446576,17.719539,99.315698,86.850943,61.155655,-0.18336,1.057601,-0.18336,1.057601,1,0.09112,0.104167,0.029463,0.125,0,-89.002444,524.803826,-89.002444,37.600378,43.036391,27.59153,0.970034,1.249492,0.970034,1.249492,1,0.09112,English,Spanish,Yes,0.109375,0.060515,0.25,0,3.872268,346.592926,3.872268,76.50174,89.644986,67.486079,0.18915,1.035028,0.18915,1.035028,0,0,English,English,No,0.135417,0.110731,0.375,0,87.635114,224.896512,87.635114,86.961159,87.423506,49.601368,-0.632292,0.927283,-0.632292,0.927283,0,0,English,English,No,0.076389,0.049105,0.125,0,-19.154173,297.56847,-19.154173,124.033253,87.834756,65.361429,-0.546385,0.639369,-0.546385,0.639369,0,0,English,English,No,0.080357,0.07986,0.25,0,5.711475,450.277583,5.711475,60.941794,133.347806,28.589631,-0.573044,0.7251,-0.573044,0.7251,0,0,English,English,No,0.142857,0.102322,0.375,0.047619,38.070517,318.234937,38.070517,93.800365,75.96159,62.049675,-0.114239,0.95559,-0.114239,0.95559,0,0,English,English,No,6,High
0.204167,0.083749,0.3125,0,0.221121,86.131017,0.221121,96.331486,89.040733,61.608803,-0.318437,0.262766,-0.318437,0.262766,0,0,0.234375,0.068108,0.3125,0,61.279432,16.958619,61.279432,66.414034,111.507861,52.326413,-0.02008,0.078576,-0.02008,0.078576,0,0,English,Spanish,Yes,0.28125,0.03125,0.3125,0,34.684301,61.175382,34.684301,47.054885,49.639606,36.250625,-0.338402,0.02148,-0.338402,0.02148,0,0,English,English,No,0.177083,0.083982,0.3125,0,-0.234207,107.704108,-0.234207,94.2517,95.705054,62.023036,-0.368889,0.162938,-0.368889,0.162938,0,0,English,English,No,0.166667,0.077951,0.25,0,-103.254757,55.667146,-103.254757,69.314511,72.023341,68.346809,-0.602032,0.097785,-0.602032,0.097785,0,0,English,English,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,English,English,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,English,English,No,6,High
