@relation 'page chinese median self'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute 'Number of English AOIs' numeric
@attribute 'Self Median' {Low,High}

@data
0.490663,0.361955,1.80859,0.073171,43.717361,118.711475,43.717361,86.129848,94.491988,58.005237,0.219867,0.342605,0.219867,0.342605,2,0.14612,0,Low
0.465361,0.581506,3.84277,0.058824,27.917979,115.036124,27.917979,88.470748,85.864335,57.974419,0.529921,0.421058,0.529921,0.421058,0,0,0,Low
0.39999,0.286371,1.47363,0.221053,3.366127,93.302846,3.366127,101.384821,84.232017,60.275424,0.287063,0.3583,0.287063,0.3583,1,0.08996,0,Low
0.388412,0.299924,1.19141,0.133333,29.632963,151.535237,29.632963,92.941226,95.134314,63.009467,0.553993,0.410342,0.553993,0.410342,0,0,0,Low
0.455176,0.311663,1.3457,0.1,58.987006,43.224986,58.987006,71.655525,93.425904,68.82398,0.815529,0.432382,0.815529,0.432382,0,0,0,Low
0.525051,0.401866,1.48828,0.086957,28.510073,84.190387,28.510073,88.104653,99.160452,54.274945,0.692115,0.357685,0.692115,0.357685,2,0.05882,0,Low
0.189289,0.098446,0.69727,0.11976,6.013433,119.743584,6.013433,104.650221,88.073191,57.871458,0.025015,0.859982,0.025015,0.859982,4,0.182515,0,High
0.222266,0.190029,0.91602,0,21.616106,227.424843,21.616106,86.688379,98.336856,53.852325,0.034913,0.425691,0.034913,0.425691,0,0,0,High
0.147979,0.078044,0.49609,0.074074,-9.904921,289.510374,-9.904921,93.420656,102.488831,53.414698,1.246017,2.754,1.246017,2.754,1,0.22067,0,High
0.178786,0.106441,0.55664,0.134615,-5.470759,1005.124982,-5.470759,92.942611,102.285377,59.075117,2.189425,3.803859,2.189425,3.803859,0,0,0,High
0.192492,0.083521,0.39453,0.055556,17.838499,110.137557,17.838499,97.156797,102.507024,53.151975,-0.245643,0.287244,-0.245643,0.287244,1,0.05482,0,High
0.159961,0.078063,0.44922,0.066667,17.138233,155.531223,17.138233,87.434573,103.007096,48.990774,-0.287224,1.011341,-0.287224,1.011341,0,0,0,High
0.248434,0.160577,1.21484,0.199248,15.497259,132.834666,15.497259,99.580881,96.57602,54.946641,0.361696,0.445603,0.361696,0.445603,4,0.092878,0,High
0.236807,0.127076,0.65503,0.134615,-2.036962,107.511807,-2.036962,110.425922,90.512851,59.177616,0.322604,0.296107,0.322604,0.296107,1,0.09163,0,High
0.25469,0.116751,0.75659,0.127907,12.071822,85.157859,12.071822,101.267769,91.979693,60.629767,0.081198,0.330786,0.081198,0.330786,1,0.09306,0,High
0.219365,0.108056,0.70313,0.178161,4.679444,92.225059,4.679444,101.198667,93.730802,55.059913,0.178587,0.30266,0.178587,0.30266,4,0.111205,0,High
0.240944,0.112206,0.58911,0.084112,3.477209,102.048708,3.477209,98.1704,104.390046,55.18167,0.14958,0.29312,0.14958,0.29312,1,0.08998,0,High
0.247024,0.137833,0.95068,0.094595,18.145984,106.337014,18.145984,99.655471,96.439302,61.369534,0.167341,0.38687,0.167341,0.38687,0,0,0,High
0.220404,0.113062,0.60938,0.096154,31.557447,97.068252,31.557447,101.860598,85.037119,48.203759,0.041739,0.257899,0.041739,0.257899,5,0.22362,0,High
0.197692,0.082168,0.42188,0.057971,19.082435,110.251922,19.082435,98.001661,112.658449,53.895021,0.076215,0.341765,0.076215,0.341765,2,0.224615,0,High
0.222853,0.1259,0.69531,0.075,28.214478,72.084426,28.214478,94.129795,97.21251,54.932181,-0.035858,0.344511,-0.035858,0.344511,3,0.187707,0,High
0.189426,0.088152,0.54688,0.086957,21.796143,101.322879,21.796143,94.039392,88.010707,58.853214,0.045087,0.351906,0.045087,0.351906,4,0.230755,0,High
0.185881,0.109736,0.60938,0.113208,22.341646,50.896577,22.341646,88.801897,85.967121,51.386105,-0.171034,0.246778,-0.171034,0.246778,2,0.320765,0,High
0.148013,0.065507,0.35938,0.127273,25.681301,98.058151,25.681301,100.629412,92.23015,52.342079,-0.065676,0.329686,-0.065676,0.329686,6,0.090337,0,High
0.433037,0.253149,0.85938,0.142857,23.856378,219.313357,23.856378,94.981874,92.223117,58.484728,0.148757,0.612452,0.148757,0.612452,0,0,0,Low
0.370314,0.250444,1.125,0.05,29.426319,119.211107,29.426319,92.280703,98.760874,58.685012,-0.191416,0.426164,-0.191416,0.426164,0,0,0,Low
0.664065,0.304685,0.96875,0,71.858762,31.350587,71.858762,0.144064,114.801588,33.352781,-0.471461,0.08642,-0.471461,0.08642,0,0,0,Low
0.383597,0.292879,1.26563,0,30.286024,123.752672,30.286024,97.25172,129.895287,51.671671,-0.086121,0.458924,-0.086121,0.458924,0,0,0,Low
0.476563,0.144829,0.65625,0,53.8427,111.166042,53.8427,80.120267,108.710882,51.323539,0.020214,0.256985,0.020214,0.256985,1,0.10576,0,Low
0.325151,0.156147,0.6875,0.047619,2.182983,109.274705,2.182983,99.955511,99.344929,50.074777,0.129542,0.418298,0.129542,0.418298,2,0.136265,0,Low
0.277991,0.131409,0.76367,0.052632,8.570727,99.954434,8.570727,99.220795,95.116287,62.944841,0.227501,0.363573,0.227501,0.363573,3,0.218293,0,High
0.228497,0.089249,0.42896,0.026316,16.116974,141.362592,16.116974,100.94504,100.541153,58.001734,0.123832,0.392529,0.123832,0.392529,0,0,0,High
0.267691,0.144431,0.85718,0.105263,14.901086,114.599984,14.901086,92.285395,92.703724,64.456351,0.34462,0.396677,0.34462,0.396677,2,0.18117,0,High
0.241881,0.13797,0.95166,0.04902,22.115792,129.456986,22.115792,100.18914,95.890591,58.76279,0.081043,0.367779,0.081043,0.367779,2,0.13842,0,High
0.374949,0.276343,1.29004,0.0625,23.380352,108.802816,23.380352,95.567654,91.003071,65.161139,0.116832,0.455815,0.116832,0.455815,3,0.21813,0,High
0.281176,0.143644,0.6665,0.075,47.625162,83.848555,47.625162,93.416719,89.904916,54.855907,0.207783,0.42482,0.207783,0.42482,1,0.24862,0,High
0.241308,0.106978,0.53125,0.201613,16.18894,92.314668,16.18894,97.04493,98.249657,58.979219,-0.204633,0.20212,-0.204633,0.20212,1,0.06262,0,Low
0.243976,0.124868,0.90625,0.178571,10.192742,104.980792,10.192742,93.356298,87.541406,58.852503,-0.152518,0.194045,-0.152518,0.194045,0,0,0,Low
0.243798,0.118001,0.67188,0.132353,21.485238,102.190118,21.485238,88.767999,90.340204,53.293095,-0.161115,0.166674,-0.161115,0.166674,0,0,0,Low
0.225305,0.098057,0.5,0.11828,20.948408,121.300148,20.948408,106.402914,98.406148,54.495548,-0.134013,0.181199,-0.134013,0.181199,0,0,0,Low
0.244533,0.145427,0.6875,0.066667,26.840221,112.76984,26.840221,93.514456,90.21001,56.375063,-0.04246,0.183692,-0.04246,0.183692,0,0,0,Low
0.231018,0.095768,0.48438,0.075269,28.389393,69.04842,28.389393,92.802672,95.095463,52.372703,-0.051667,0.217298,-0.051667,0.217298,0,0,0,Low
0.252716,0.126457,0.75049,0.257862,-4.050692,134.595038,-4.050692,100.581463,97.903596,55.390235,-0.268016,0.278106,-0.268016,0.278106,2,0.122325,0,High
0.230355,0.097929,0.64307,0.192308,23.609841,107.288555,23.609841,100.205128,103.343317,56.648727,-0.168117,0.340469,-0.168117,0.340469,2,0.117095,0,High
0.251778,0.149388,1.11841,0.198198,-0.818218,79.290277,-0.818218,97.471591,99.488934,53.510131,-0.127635,0.331776,-0.127635,0.331776,0,0,0,High
0.28126,0.15072,0.85425,0.0625,5.231636,137.475948,5.231636,107.084137,82.082638,59.209604,-0.094938,0.4286,-0.094938,0.4286,0,0,0,High
0.277144,0.17448,0.84399,0.102041,4.568382,100.701721,4.568382,99.758956,88.290718,60.052774,-0.206322,0.384146,-0.206322,0.384146,0,0,0,High
0.247068,0.126135,0.85156,0.094737,18.426785,70.582845,18.426785,93.962322,98.060633,54.390682,-0.159563,0.395072,-0.159563,0.395072,0,0,0,High
