MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,AOI_TYPE,Page,userID
1,hapii,1039,0.14415999999999998,26,863,87,NOT_AOI,0,4458
1,hapii,1040,0.11881,26,0,0,NOT_AOI,0,4458
1,hapii,1041,0.11321,26,1327,262,NOT_AOI,0,4458
1,hapii,1042,0.12272,26,490,120,NOT_AOI,0,4458
1,hapii,1043,0.12259,26,516,131,NOT_AOI,0,4458
1,hapii,1044,0.10016,26,844,134,QUERY,0,4458
1,hapii,1045,0.14708,27,425,43,NOT_AOI,0,4458
1,hapii,1046,0.11636,27,818,1116,NOT_AOI,0,4458
1,hapii,1047,0.12805,28,487,2117,NOT_AOI,0,4458
1,hapii,1048,0.12309,28,915,368,RESULT2,0,4458
1,hapii,1049,0.12499,28,918,96,QUERY,0,4458
1,hapii,1050,0.11539,29,666,100,QUERY,0,4458
1,hapii,1052,0.12336,27,0,0,NOT_AOI,0,4458
1,hapii,1053,0.14595,27,0,0,NOT_AOI,0,4458
1,hapii,1054,0.13292,27,544,283,NOT_AOI,0,4458
1,hapii,1055,0.12921,24,82,172,NOT_AOI,0,4458
1,hapii,1056,0.11952,23,18,220,NOT_AOI,0,4458
1,hapii,1058,0.09217,20,104,367,NOT_AOI,0,4458
1,hapii,1059,0.14393,15,29,431,NOT_AOI,0,4458
1,hapii,1060,0.26299,14,0,0,NOT_AOI,0,4458
1,hapii,1061,0.12559,14,148,435,NOT_AOI,0,4458
1,hapii,1062,0.12879000000000002,13,45,461,NOT_AOI,0,4458
1,hapii,1063,0.13701,14,118,958,NOT_AOI,0,4458
1,hapii,1064,0.12951,14,31,457,NOT_AOI,0,4458
1,hapii,1065,0.15165,15,29,932,NOT_AOI,0,4458
1,hapii,1066,0.14828,16,18,777,NOT_AOI,0,4458
1,hapii,1067,0.11254000000000004,16,94,915,NOT_AOI,0,4458
1,hapii,1068,0.13121,17,30,901,NOT_AOI,0,4458
1,hapii,1069,0.25004,16,0,0,NOT_AOI,0,4458
1,hapii,1070,0.10073,17,0,0,NOT_AOI,0,4458
1,hapii,1071,0.12596,18,0,0,NOT_AOI,0,4458
1,hapii,1072,0.10738,19,0,0,NOT_AOI,0,4458
1,hapii,1073,0.10391,19,0,0,NOT_AOI,0,4458
1,hapii,1074,0.11613,20,0,0,NOT_AOI,0,4458
1,hapii,1075,0.10112,21,0,0,NOT_AOI,0,4458
1,hapii,1076,0.0993,22,0,0,NOT_AOI,0,4458
1,hapii,1077,0.10777,23,0,0,NOT_AOI,0,4458
1,hapii,1078,0.10044,24,0,0,NOT_AOI,0,4458
1,hapii,1079,0.11899,25,0,0,NOT_AOI,0,4458
1,hapii,1080,0.09987,26,949,324,RESULT2,0,4458
