ID,userID,Task,QueryLanguage,"Result Order",exitAt,createdAt,updatedAt
312,4458,0,"Eye Tracker",-1,"2019-10-31 15:36:46.987","2019-10-31 15:36:31.185","2019-10-31 15:36:46.987"
313,4458,1,Chinese,3,"2019-10-31 15:38:42.518","2019-10-31 15:36:47.153","2019-10-31 15:38:42.518"
314,4458,2,English,1,"2019-10-31 15:41:52.893","2019-10-31 15:38:42.633","2019-10-31 15:41:52.893"
315,4458,3,Chinese,4,"2019-10-31 15:44:14.903","2019-10-31 15:41:53.029","2019-10-31 15:44:14.903"
316,4458,4,English,0,"2019-10-31 15:46:23.707","2019-10-31 15:44:15.065","2019-10-31 15:46:23.707"
317,4458,5,Chinese,2,"2019-10-31 15:48:53.570","2019-10-31 15:46:23.847","2019-10-31 15:48:53.570"
318,4458,6,English,3,"2019-10-31 15:50:45.477","2019-10-31 15:48:53.698","2019-10-31 15:50:45.477"
319,4458,7,Chinese,1,"2019-10-31 15:51:57.176","2019-10-31 15:50:45.590","2019-10-31 15:51:57.176"
320,4458,8,English,4,"2019-10-31 15:53:13.347","2019-10-31 15:51:57.300","2019-10-31 15:53:13.347"
321,4458,9,Chinese,0,"2019-10-31 15:54:35.082","2019-10-31 15:53:13.467","2019-10-31 15:54:35.082"
322,4458,10,English,2,"2019-10-31 15:55:57.425","2019-10-31 15:54:35.209","2019-10-31 15:55:57.425"
323,4458,11,Chinese,3,"2019-10-31 15:57:27.720","2019-10-31 15:55:57.540","2019-10-31 15:57:27.720"
324,4458,12,English,1,"2019-10-31 15:59:46.758","2019-10-31 15:57:27.823","2019-10-31 15:59:46.758"
325,4458,13,Chinese,4,NULL,"2019-10-31 15:59:46.879","2019-10-31 15:59:46.879"
