Page,AOI_TYPE,Blink_Count,Total_Blink_Duration,Average_Blink_Duration
0,QUERY,1,1.88614,1.88614
0,RESULT1,0,0.0,0.0
0,RESULT2,0,0.0,0.0
0,RESULT3,0,0.0,0.0
0,RESULT4,0,0.0,0.0
0,RESULT5,0,0.0,0.0
0,RESULT6,0,0.0,0.0
0,NOT_AOI,14,1.29662,0.09261571428571429
1,QUERY,0,0.0,0.0
1,RESULT1,0,0.0,0.0
1,RESULT2,0,0.0,0.0
1,RESULT3,0,0.0,0.0
1,RESULT4,1,0.04087,0.04087
1,RESULT5,0,0.0,0.0
1,RESULT6,0,0.0,0.0
1,NOT_AOI,5,0.40423,0.080846
2,QUERY,0,0.0,0.0
2,RESULT1,0,0.0,0.0
2,RESULT2,1,0.03175,0.03175
2,RESULT3,0,0.0,0.0
2,RESULT4,2,0.08197,0.040985
2,RESULT5,1,0.12987,0.12987
2,RESULT6,0,0.0,0.0
2,NOT_AOI,5,0.28506,0.05701199999999999
3,QUERY,0,0.0,0.0
3,RESULT1,1,0.03343,0.03343
3,RESULT2,1,0.03284,0.03284
3,RESULT3,0,0.0,0.0
3,RESULT4,0,0.0,0.0
3,RESULT5,0,0.0,0.0
3,RESULT6,1,0.02905,0.02905
3,NOT_AOI,6,0.28472,0.04745333333333333
4,QUERY,1,0.0348,0.0348
4,RESULT1,2,0.16441,0.082205
4,RESULT2,0,0.0,0.0
4,RESULT3,0,0.0,0.0
4,RESULT4,1,0.03049,0.03049
4,RESULT5,2,0.18505000000000002,0.09252500000000001
4,RESULT6,0,0.0,0.0
4,NOT_AOI,5,0.26467,0.052934
5,QUERY,1,0.04149,0.04149
5,RESULT1,1,0.02894,0.02894
5,RESULT2,0,0.0,0.0
5,RESULT3,0,0.0,0.0
5,RESULT4,0,0.0,0.0
5,RESULT5,1,0.0315,0.0315
5,RESULT6,0,0.0,0.0
5,NOT_AOI,10,0.8058,0.08058
6,QUERY,0,0.0,0.0
6,RESULT1,1,0.12653,0.12653
6,RESULT2,1,0.03175,0.03175
6,RESULT3,0,0.0,0.0
6,RESULT4,0,0.0,0.0
6,RESULT5,0,0.0,0.0
6,RESULT6,0,0.0,0.0
6,NOT_AOI,10,0.31724,0.031724
7,QUERY,0,0.0,0.0
7,RESULT1,1,0.13334,0.13334
7,RESULT2,1,0.03193,0.03193
7,RESULT3,0,0.0,0.0
7,RESULT4,3,0.20955000000000001,0.06985000000000001
7,RESULT5,1,0.038610000000000005,0.038610000000000005
7,RESULT6,2,0.0401,0.02005
7,NOT_AOI,10,0.64917,0.064917
8,QUERY,2,0.042249999999999996,0.021124999999999998
8,RESULT1,4,0.10242000000000001,0.025605000000000003
8,RESULT2,1,0.03482,0.03482
8,RESULT3,1,0.041010000000000005,0.041010000000000005
8,RESULT4,3,0.15644000000000002,0.052146666666666674
8,RESULT5,0,0.0,0.0
8,RESULT6,0,0.0,0.0
8,NOT_AOI,7,0.35958,0.05136857142857143
9,QUERY,0,0.0,0.0
9,RESULT1,2,0.050089999999999996,0.025044999999999998
9,RESULT2,1,0.03989,0.03989
9,RESULT3,0,0.0,0.0
9,RESULT4,3,0.11152000000000001,0.037173333333333336
9,RESULT5,2,0.05924,0.02962
9,RESULT6,0,0.0,0.0
9,NOT_AOI,7,0.33735,0.04819285714285714
10,QUERY,0,0.0,0.0
10,RESULT1,1,0.03044,0.03044
10,RESULT2,0,0.0,0.0
10,RESULT3,1,0.09612,0.09612
10,RESULT4,0,0.0,0.0
10,RESULT5,1,0.03284,0.03284
10,RESULT6,0,0.0,0.0
10,NOT_AOI,11,0.74191,0.06744636363636364
11,QUERY,1,0.10193,0.10193
11,RESULT1,0,0.0,0.0
11,RESULT2,0,0.0,0.0
11,RESULT3,0,0.0,0.0
11,RESULT4,2,0.18608,0.09304
11,RESULT5,2,0.06767000000000001,0.033835000000000004
11,RESULT6,1,0.0079,0.0079
11,NOT_AOI,9,0.3462,0.03846666666666667
12,QUERY,1,0.02271,0.02271
12,RESULT1,0,0.0,0.0
12,RESULT2,0,0.0,0.0
12,RESULT3,1,0.007659999999999998,0.007659999999999998
12,RESULT4,1,0.10058,0.10058
12,RESULT5,2,0.06222000000000001,0.031110000000000006
12,RESULT6,1,0.00747,0.00747
12,NOT_AOI,14,0.49459,0.03532785714285714
13,QUERY,0,0.0,0.0
13,RESULT1,0,0.0,0.0
13,RESULT2,0,0.0,0.0
13,RESULT3,0,0.0,0.0
13,RESULT4,1,0.04379,0.04379
13,RESULT5,2,0.20348,0.10174
13,RESULT6,1,0.03569,0.03569
13,NOT_AOI,9,0.31867,0.03540777777777778
14,QUERY,0,0.0,0.0
14,RESULT1,0,0.0,0.0
14,RESULT2,0,0.0,0.0
14,RESULT3,1,0.03286,0.03286
14,RESULT4,0,0.0,0.0
14,RESULT5,0,0.0,0.0
14,RESULT6,1,0.03329,0.03329
14,NOT_AOI,8,0.37638,0.0470475
15,QUERY,0,0.0,0.0
15,RESULT1,1,0.01018,0.01018
15,RESULT2,0,0.0,0.0
15,RESULT3,0,0.0,0.0
15,RESULT4,1,0.0425,0.0425
15,RESULT5,0,0.0,0.0
15,RESULT6,0,0.0,0.0
15,NOT_AOI,5,0.60109,0.120218
16,QUERY,0,0.0,0.0
16,RESULT1,0,0.0,0.0
16,RESULT2,0,0.0,0.0
16,RESULT3,0,0.0,0.0
16,RESULT4,0,0.0,0.0
16,RESULT5,0,0.0,0.0
16,RESULT6,0,0.0,0.0
16,NOT_AOI,3,0.09676000000000001,0.032253333333333335
17,QUERY,1,0.11200999999999996,0.11200999999999996
17,RESULT1,3,0.09847,0.032823333333333336
17,RESULT2,0,0.0,0.0
17,RESULT3,5,0.15775,0.03155
17,RESULT4,2,0.042859999999999995,0.021429999999999998
17,RESULT5,1,0.15455,0.15455
17,RESULT6,0,0.0,0.0
17,NOT_AOI,13,0.5789300000000002,0.04453307692307694
18,QUERY,0,0.0,0.0
18,RESULT1,0,0.0,0.0
18,RESULT2,1,0.03464,0.03464
18,RESULT3,0,0.0,0.0
18,RESULT4,0,0.0,0.0
18,RESULT5,1,0.03594,0.03594
18,RESULT6,0,0.0,0.0
18,NOT_AOI,3,0.24969999999999998,0.08323333333333333
19,QUERY,0,0.0,0.0
19,RESULT1,0,0.0,0.0
19,RESULT2,2,0.017419999999999998,0.008709999999999999
19,RESULT3,0,0.0,0.0
19,RESULT4,0,0.0,0.0
19,RESULT5,0,0.0,0.0
19,RESULT6,0,0.0,0.0
19,NOT_AOI,10,0.6341,0.06341
20,QUERY,0,0.0,0.0
20,RESULT1,1,0.03198,0.03198
20,RESULT2,0,0.0,0.0
20,RESULT3,1,0.03338,0.03338
20,RESULT4,1,0.00881,0.00881
20,RESULT5,0,0.0,0.0
20,RESULT6,0,0.0,0.0
20,NOT_AOI,1,0.07789,0.07789
21,QUERY,0,0.0,0.0
21,RESULT1,0,0.0,0.0
21,RESULT2,1,0.0318,0.0318
21,RESULT3,0,0.0,0.0
21,RESULT4,2,0.03982,0.01991
21,RESULT5,0,0.0,0.0
21,RESULT6,0,0.0,0.0
21,NOT_AOI,7,0.31478,0.04496857142857143
22,QUERY,0,0.0,0.0
22,RESULT1,1,0.03095,0.03095
22,RESULT2,0,0.0,0.0
22,RESULT3,0,0.0,0.0
22,RESULT4,2,0.06558,0.03279
22,RESULT5,0,0.0,0.0
22,RESULT6,0,0.0,0.0
22,NOT_AOI,4,0.24377,0.0609425
23,QUERY,0,0.0,0.0
23,RESULT1,0,0.0,0.0
23,RESULT2,3,0.10101000000000002,0.033670000000000005
23,RESULT3,0,0.0,0.0
23,RESULT4,0,0.0,0.0
23,RESULT5,0,0.0,0.0
23,RESULT6,0,0.0,0.0
23,NOT_AOI,5,0.28657,0.057314
24,QUERY,1,0.11622,0.11622
24,RESULT1,0,0.0,0.0
24,RESULT2,0,0.0,0.0
24,RESULT3,0,0.0,0.0
24,RESULT4,1,0.09357,0.09357
24,RESULT5,0,0.0,0.0
24,RESULT6,0,0.0,0.0
24,NOT_AOI,8,0.40419,0.05052375
25,QUERY,0,0.0,0.0
25,RESULT1,1,0.04339,0.04339
25,RESULT2,0,0.0,0.0
25,RESULT3,0,0.0,0.0
25,RESULT4,1,0.03477,0.03477
25,RESULT5,0,0.0,0.0
25,RESULT6,2,0.16371,0.081855
25,NOT_AOI,7,0.15688,0.02241142857142857
26,QUERY,0,0.0,0.0
26,RESULT1,1,0.06387999999999999,0.06387999999999999
26,RESULT2,2,0.07088,0.03544
26,RESULT3,1,0.03431,0.03431
26,RESULT4,1,0.03562,0.03562
26,RESULT5,1,0.00878,0.00878
26,RESULT6,0,0.0,0.0
26,NOT_AOI,8,0.26161,0.03270125
27,QUERY,0,0.0,0.0
27,RESULT1,2,0.10607,0.053035
27,RESULT2,0,0.0,0.0
27,RESULT3,1,0.03072,0.03072
27,RESULT4,0,0.0,0.0
27,RESULT5,0,0.0,0.0
27,RESULT6,0,0.0,0.0
27,NOT_AOI,7,0.4643,0.06632857142857143
28,QUERY,1,0.03268,0.03268
28,RESULT1,0,0.0,0.0
28,RESULT2,1,0.08087000000000001,0.08087000000000001
28,RESULT3,0,0.0,0.0
28,RESULT4,2,0.04177,0.020885
28,RESULT5,0,0.0,0.0
28,RESULT6,0,0.0,0.0
28,NOT_AOI,9,0.58656,0.06517333333333333
29,QUERY,1,0.03331,0.03331
29,RESULT1,0,0.0,0.0
29,RESULT2,0,0.0,0.0
29,RESULT3,1,0.0338,0.0338
29,RESULT4,0,0.0,0.0
29,RESULT5,2,0.04052,0.02026
29,RESULT6,1,0.04171,0.04171
29,NOT_AOI,1,0.04744,0.04744
30,QUERY,0,0.0,0.0
30,RESULT1,2,0.03931,0.019655
30,RESULT2,0,0.0,0.0
30,RESULT3,0,0.0,0.0
30,RESULT4,4,0.13187,0.0329675
