ID,userID,Task,QueryLanguage,"Result Order",exitAt,createdAt,updatedAt
"1090","2492","0","Eye Tracker","-1","2020-03-18 16:25:43.216","2020-03-18 16:25:36.841","2020-03-18 16:25:43.216"
"1091","2492","1","Spanish","4","2020-03-18 16:26:07.204","2020-03-18 16:25:43.374","2020-03-18 16:26:07.204"
"1092","2492","2","English","2","2020-03-18 16:27:03.704","2020-03-18 16:26:07.309","2020-03-18 16:27:03.704"
"1093","2492","3","Spanish","0","2020-03-18 16:27:48.890","2020-03-18 16:27:03.839","2020-03-18 16:27:48.890"
"1094","2492","4","English","1","2020-03-18 16:28:16.796","2020-03-18 16:27:49.012","2020-03-18 16:28:16.796"
"1095","2492","5","Spanish","3","2020-03-18 16:29:08.136","2020-03-18 16:28:16.992","2020-03-18 16:29:08.136"
"1096","2492","6","English","4","2020-03-18 16:29:57.871","2020-03-18 16:29:08.248","2020-03-18 16:29:57.871"
"1097","2492","7","Spanish","2","2020-03-18 16:30:41.186","2020-03-18 16:29:57.993","2020-03-18 16:30:41.186"
"1098","2492","8","English","0","2020-03-18 16:31:30.567","2020-03-18 16:30:41.309","2020-03-18 16:31:30.567"
"1099","2492","9","Spanish","1","2020-03-18 16:32:09.450","2020-03-18 16:31:30.699","2020-03-18 16:32:09.450"
"1100","2492","10","English","3","2020-03-18 16:32:11.483","2020-03-18 16:32:09.561","2020-03-18 16:32:11.483"
"1101","2492","11","Spanish","4","2020-03-18 16:33:06.393","2020-03-18 16:32:11.579","2020-03-18 16:33:06.393"
"1102","2492","12","English","2","2020-03-18 16:33:33.048","2020-03-18 16:33:06.499","2020-03-18 16:33:33.048"
"1103","2492","13","Spanish","0","2020-03-18 16:34:12.479","2020-03-18 16:33:33.168","2020-03-18 16:34:12.479"
"1104","2492","14","English","1","2020-03-18 16:34:44.402","2020-03-18 16:34:12.599","2020-03-18 16:34:44.402"
"1105","2492","15","Spanish","3","2020-03-18 16:35:18.351","2020-03-18 16:34:44.504","2020-03-18 16:35:18.351"
"1106","2492","16","English","4","2020-03-18 16:35:44.717","2020-03-18 16:35:18.451","2020-03-18 16:35:44.717"
"1107","2492","17","Spanish","2","2020-03-18 16:36:13.148","2020-03-18 16:35:44.825","2020-03-18 16:36:13.148"
"1108","2492","18","English","0","2020-03-18 16:36:51.097","2020-03-18 16:36:13.281","2020-03-18 16:36:51.097"
"1109","2492","19","Spanish","1","2020-03-18 16:37:44.561","2020-03-18 16:36:51.196","2020-03-18 16:37:44.561"
"1110","2492","20","English","3","2020-03-18 16:38:11.964","2020-03-18 16:37:44.692","2020-03-18 16:38:11.964"
"1111","2492","21","Spanish","4","2020-03-18 16:38:36.883","2020-03-18 16:38:12.071","2020-03-18 16:38:36.883"
"1112","2492","22","English","2","2020-03-18 16:39:06.441","2020-03-18 16:38:36.988","2020-03-18 16:39:06.441"
"1113","2492","23","Spanish","0","2020-03-18 16:39:50.118","2020-03-18 16:39:06.574","2020-03-18 16:39:50.118"
"1114","2492","24","English","1","2020-03-18 16:40:26.584","2020-03-18 16:39:50.225","2020-03-18 16:40:26.584"
"1115","2492","25","Spanish","3","2020-03-18 16:40:50.255","2020-03-18 16:40:26.695","2020-03-18 16:40:50.255"
"1116","2492","26","English","4","2020-03-18 16:41:18.177","2020-03-18 16:40:50.371","2020-03-18 16:41:18.177"
"1117","2492","27","Spanish","2","2020-03-18 16:41:59.174","2020-03-18 16:41:18.288","2020-03-18 16:41:59.174"
"1118","2492","28","English","0","2020-03-18 16:42:34.321","2020-03-18 16:41:59.280","2020-03-18 16:42:34.321"
"1119","2492","29","Spanish","1","2020-03-18 16:42:59.431","2020-03-18 16:42:34.465","2020-03-18 16:42:59.431"
"1120","2492","30","English","3","2020-03-18 16:43:20.015","2020-03-18 16:42:59.551","2020-03-18 16:43:20.015"
