ID,userID,resultId,TaskPage,Answer,QueryLanguage,In,Out
537,3545,2308,0,0,Chinese,35:33.6,35:33.6
538,3545,2309,1,1,Chinese,35:47.8,35:47.8
539,3545,2310,2,1,Chinese,35:52.7,35:52.7
540,3545,3388,3,1,Chinese,36:06.6,36:06.6
541,3545,3389,4,1,Chinese,37:02.6,37:02.6
542,3545,3390,5,0,Chinese,37:03.2,37:03.2
543,3545,2338,0,1,English,38:39.1,38:39.1
544,3545,2339,1,0,English,38:56.5,38:56.5
545,3545,2340,2,1,English,39:01.6,39:01.6
546,3545,2341,3,0,English,39:04.2,39:04.2
547,3545,2342,4,1,English,39:11.6,39:11.6
548,3545,2343,5,0,English,39:12.1,39:12.1
549,3545,3358,0,0,Chinese,39:31.8,39:31.8
550,3545,3359,1,0,Chinese,39:33.9,39:33.9
551,3545,3360,2,1,Chinese,39:58.9,39:58.9
552,3545,2278,3,1,Chinese,40:11.6,40:11.6
553,3545,2279,4,1,Chinese,40:48.0,40:48.0
554,3545,2280,5,1,Chinese,40:48.7,40:48.7
555,3545,2368,0,0,English,41:19.4,41:19.4
556,3545,3448,1,1,English,41:28.7,41:28.7
557,3545,2369,2,0,English,41:30.3,41:30.3
558,3545,3449,3,0,English,41:49.5,41:49.5
559,3545,2370,4,1,English,41:50.6,41:50.6
560,3545,3450,5,0,English,42:22.6,42:22.6
561,3545,3328,0,0,Chinese,42:43.0,42:43.0
562,3545,3329,1,0,Chinese,42:44.7,42:44.7
563,3545,3330,2,0,Chinese,42:45.8,42:45.8
564,3545,3331,3,0,Chinese,42:50.1,42:50.1
565,3545,3332,4,0,Chinese,43:07.3,43:07.3
566,3545,3333,5,0,Chinese,43:19.0,43:19.0
567,3545,2398,0,0,English,43:36.7,43:36.7
568,3545,2399,1,0,English,43:37.9,43:37.9
569,3545,2400,2,0,English,43:39.3,43:39.3
570,3545,3478,3,0,English,43:40.5,43:40.5
571,3545,3479,4,0,English,43:42.8,43:42.8
572,3545,3480,5,0,English,43:44.4,43:44.4
573,3545,2218,0,0,Chinese,43:50.5,43:50.5
574,3545,2219,1,0,Chinese,43:51.2,43:51.2
575,3545,2220,2,0,Chinese,43:53.3,43:53.3
576,3545,2221,3,0,Chinese,43:54.2,43:54.2
577,3545,2223,5,0,Chinese,44:04.5,44:04.5
578,3545,2222,4,0,Chinese,44:05.4,44:05.4
579,3545,3508,0,0,English,44:16.6,44:16.6
580,3545,3509,1,1,English,45:01.0,45:01.0
581,3545,3510,2,1,English,45:02.7,45:02.7
582,3545,2428,3,0,English,45:08.4,45:08.4
583,3545,2429,4,1,English,45:12.8,45:12.8
584,3545,2430,5,1,English,45:20.0,45:20.0
585,3545,2188,0,0,Chinese,45:27.0,45:27.0
586,3545,3268,1,1,Chinese,45:39.2,45:39.2
