Participant,Language,L1,Self-English Prof,Self-Chinese Prof,Self-Spanish Prof,Test-English,Test-Chinese,Test-Spanish
3545,Chinese,Chinese,3,5,N/A,Low,High,N/A
5890,Spanish,English,5,N/A,3,High,N/A,Low
2128,Spanish,Both,5,N/A,5,Medium,N/A,High
4458,Chinese,Chinese,3,5,N/A,Low,High,N/A
2156,Spanish,Both,5,N/A,5,Low,N/A,High
5492,Spanish,Both,5,N/A,5,Medium,N/A,High
132,Chinese,Chinese,4,5,N/A,Low,High,N/A
1586,Chinese,Chinese,3,5,N/A,Low,High,N/A
2899,Spanish,English,5,N/A,3,Medium,N/A,Low
6673,Spanish,English,5,N/A,4,High,N/A,High
7734,Spanish,English,5,N/A,4,High,N/A,Medium
2068,Chinese,Chinese,5,5,N/A,Low,High,N/A
6515,Spanish,Both,4,N/A,4,Medium,N/A,Medium
2660,Chinese,Chinese,5,5,N/A,Medium,High,N/A
5385,Chinese,English,5,2,N/A,High,Low,N/A
6965,Spanish,English,5,N/A,4,High,N/A,High
1338,Chinese,English,5,4,N/A,Low,Low,N/A
3816,Spanish,Both,5,N/A,5,Medium,N/A,Medium
1855,Spanish,English,5,N/A,4,High,N/A,Medium
2591,Chinese,Chinese,3,5,N/A,Medium,High,N/A
1699,Spanish,English,5,N/A,4,Medium,N/A,Medium
2934,Spanish,English,5,N/A,4,Medium,N/A,High
4799,Spanish,Both,5,N/A,5,Medium,N/A,High
5689,Spanish,Both,5,N/A,5,Low,N/A,High
1982,Spanish,English,5,N/A,4,Medium,N/A,High
452,Spanish,English,5,N/A,4,Medium,N/A,Medium
6853,Spanish,English,5,N/A,4,Medium,N/A,High
2492,Spanish,English,4,N/A,3,Low,N/A,Low
671,Chinese,English,4,3,N/A,Low,Low,N/A
2021,Chinese,English,5,2,N/A,High,Medium,N/A
1572,Spanish,English,5,N/A,4,High,N/A,Medium
2929,Spanish,English,5,N/A,3,Medium,N/A,Medium
