lcs,hcs,lct,hct,lcc,hcc,lcp,hcp,lss,hss,lst,hst,lsc,hsc,lsp,hsp,les,hes,let,het,lec,hec,lep,hep
5385,3545,5385,3545,5385,3545,5385,3545,5890,2128,5890,2128,5890,2128,5890,2128,3545,5890,3545,5890,3545,5890,3545,5890
1338,132,1338,132,1338,132,1338,132,2899,2156,2899,2156,2899,2156,2899,2156,132,2128,132,2128,132,2128,1586,2128
671,1586,671,1586,671,1586,671,1586,6673,5492,7734,5492,1855,6515,1855,6515,1586,2156,1586,6673,1586,2156,2591,2156
,2068,,2068,2591,2068,2591,2068,7734,3816,6515,6673,1699,5492,1699,5492,6515,5492,2591,7734,6515,5492,671,5492
,2591,,2591,,,,,6515,4799,3816,6965,452,6673,452,6673,2591,2899,671,5385,2591,2899,6853,2899
,,,,,,,,6965,5689,1855,2934,1572,2934,1572,2934,671,6673,2156,6965,671,6673,,6673
,,,,,,,,1855,,1699,4799,2929,4799,2929,4799,,7734,5492,1855,6965,7734,,7734
,,,,,,,,1699,,452,5689,6965,5689,6965,5689,,2068,2899,1699,3816,2068,,2068
,,,,,,,,2934,,1572,6853,,6853,,6853,,5385,2068,2934,4799,5385,,5385
,,,,,,,,452,,2929,,,7734,,7734,,6965,1338,4799,5689,1338,,1338
,,,,,,,,6853,,,,,3816,,3816,,1338,3816,452,6853,1855,,1855
,,,,,,,,1572,,,,,,,,,3816,5689,6853,,1699,,1699
,,,,,,,,2929,,,,,,,,,1855,2929,1572,,2934,,2934
,,,,,,,,,,,,,,,,,1699,,6515,,452,,452
,,,,,,,,,,,,,,,,,2934,,,,1572,,1572
,,,,,,,,,,,,,,,,,4799,,,,2929,,2929
,,,,,,,,,,,,,,,,,5689,,,,,,132
,,,,,,,,,,,,,,,,,452,,,,,,6965
,,,,,,,,,,,,,,,,,6853,,,,,,6515
,,,,,,,,,,,,,,,,,1572,,,,,,3816
,,,,,,,,,,,,,,,,,2929,,,,,,4799
,,,,,,,,,,,,,,,,,,,,,,,5689
