Participant ID,Gazepoint ID,Language,ILR Self - EN,ILR Self - CN/SP,Test -  EN,Test - CN/SP,Score %,CEFR Reading EN,CEFR Writing EN,CEFR Reading CN/SP,CEFR Writing CN/SP
3545,13,Chinese,3,5,5844,22,100.00%,B2,B2,C2,C2
5890,14,Spanish,5,3,9466,18,36.00%,C2,C2,A2,A2
2128,15,Spanish,5,5,7445,49,98.00%,C2,C2,C2,C2
4458,16,Chinese,3,5,4898,21,95.45%,B2,B2,C1,B2
2156,18,Spanish,5,5,3989,43,86.00%,C2,C2,C1,C2
5492,19,Spanish,5,5,6720,46,92.00%,C2,C2,C2,C2
132,20,Chinese,4,5,2777,21,95.45%,C1,C1,C2,C2
1586,21,Chinese,3,5,4248,21,95.45%,B2,B2,C2,C2
2899,22,Spanish,5,3,6251,21,42.00%,C2,C2,B1,B1
6673,23,Spanish,5,4,8158,43,86.00%,C2,C2,C1,B2
7734,24,Spanish,5,4,8663,37,74.00%,C2,C1,C1,B2
2068,25,Chinese,5,5,2139,21,95.45%,C2,C2,C2,C2
6515,28,Spanish,4,4,7646,34,68.00%,C1,B2,C1,B1
2660,29,Chinese,5,5,6990,21,95.45%,C2,C2,C2,C2
5385,30,Chinese,5,2,9466,5,22.73%,C2,C2,A1,A1
6965,31,Spanish,5,4,8315,43,86.00%,C1,C2,B2,C1
1338,32,Chinese,5,4,5299,4,18.18%,C2,C1,B1,A2
3816,33,Spanish,5,5,6280,34,68.00%,C1,C2,C1,B2
1855,34,Spanish,5,4,8073,36,72.00%,C2,C1,B2,B1
2591,35,Chinese,3,5,6532,21,95.45%,B2,B1,B2,B2
1699,37,Spanish,5,4,6750,36,72.00%,C2,C2,B1,B1
2934,38,Spanish,5,4,7232,45,90.00%,C2,C1,C1,B2
4799,39,Spanish,5,5,7706,42,84.00%,C1,C2,C1,C1
5689,40,Spanish,5,5,5715,42,84.00%,B2,C1,A2,C1
1982,41,Spanish,5,4,7189,43,86.00%,C2,B2,C1,B2
452,42,Spanish,5,4,7286,35,70.00%,C2,C2,B2,B1
6853,43,Spanish,5,4,7514,43,86.00%,B2,B1,C2,C2
2492,44,Spanish,4,3,5831,27,54.00%,B1,B2,B1,B2
671,45,Chinese,4,3,1711,12,54.55%,C1,C1,B1,A2
2021,46,Chinese,5,2,8560,15,68.18%,C1,C1,B1,A2
1572,47,Spanish,5,4,8298,39,78.00%,C2,C2,B2,B1
2929,48,Spanish,5,3,6058,30,60.00%,C2,C2,B1,B1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
